rally_cum,game,track,frames,appearance,appearance_frac,carried,agree
98,2,1,14,Black,0.79,Black,1
99,2,10,28,Patriquin,0.89,Patriquin,1
99,2,3,44,Black,0.75,Black,1
99,2,1,51,Alshon,0.96,Alshon,1
99,2,2,19,Bright,0.68,Bright,1
99,2,11,1,Bright,1.00,UNNAMED,0
99,2,12,1,Bright,1.00,UNNAMED,0
99,2,14,1,Bright,1.00,UNNAMED,0
99,2,13,1,Bright,1.00,UNNAMED,0
99,2,17,2,Bright,1.00,Bright,1
100,2,2,14,Alshon,0.93,Alshon,1
100,2,0,14,Patriquin,1.00,Patriquin,1
100,2,1,15,Black,1.00,Black,1
100,2,5,14,Bright,0.79,Bright,1
100,2,4,10,Bright,1.00,UNNAMED,0
101,2,4,39,Alshon,0.92,Alshon,1
101,2,1,25,Patriquin,0.64,Bright,0
101,2,3,29,Black,0.69,Black,1
101,2,6,1,Bright,1.00,UNNAMED,0
101,2,2,32,Patriquin,1.00,Patriquin,1
101,2,7,2,Bright,1.00,UNNAMED,0
102,2,7,13,Patriquin,1.00,Bright,0
102,2,5,9,Patriquin,0.78,Patriquin,1
102,2,6,12,Alshon,0.75,Alshon,1
102,2,4,1,Black,1.00,Black,1
104,2,1,16,Alshon,1.00,Alshon,1
104,2,7,14,Bright,0.93,UNNAMED,0
104,2,6,7,Bright,0.57,Bright,1
104,2,8,6,Bright,1.00,Patriquin,0
104,2,0,14,Black,0.79,Black,1
104,2,9,5,Bright,1.00,UNNAMED,0
107,3,6,10,Black,0.80,UNNAMED,0
107,3,19,5,Bright,1.00,Patriquin,0
107,3,14,6,Patriquin,0.83,Alshon,0
107,3,20,7,Bright,1.00,UNNAMED,0
107,3,5,1,Patriquin,1.00,Black,0
107,3,21,1,Bright,1.00,Patriquin,0
107,3,7,3,Patriquin,1.00,Bright,0
110,3,0,13,Patriquin,0.77,Alshon,0
110,3,1,30,Alshon,0.63,Black,0
110,3,3,14,Patriquin,0.71,Patriquin,1
110,3,2,8,Bright,0.75,Bright,1
