rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
121,3,2026-01-25T19:11:34+00:00,2026-01-25T19:11:45+00:00,11.0,5.0,11.0,5-3-2,3-5-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
122,3,2026-01-25T19:11:50+00:00,2026-01-25T19:12:05+00:00,15.0,5.0,15.0,3-5-1,4-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
123,3,2026-01-25T19:12:10+00:00,2026-01-25T19:12:31+00:00,21.0,31.0,21.0,4-5-1,5-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
124,3,2026-01-25T19:13:02+00:00,2026-01-25T19:13:02+00:00,0.0,0.0,0.0,5-5-1,4-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
125,3,2026-01-25T19:13:02+00:00,2026-01-25T19:13:02+00:00,0.0,30.0,0.0,4-5-2,4-5-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
126,3,2026-01-25T19:13:32+00:00,2026-01-25T19:13:59+00:00,27.0,8.0,27.0,4-5-2,5-5-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
127,3,2026-01-25T19:14:07+00:00,2026-01-25T19:14:26+00:00,19.0,6.0,19.0,5-5-2,5-5-1,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
128,3,2026-01-25T19:14:32+00:00,2026-01-25T19:14:48+00:00,16.0,8.0,16.0,5-5-1,5-5-2,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
129,3,2026-01-25T19:14:56+00:00,2026-01-25T19:15:09+00:00,13.0,3.0,13.0,5-5-2,5-5-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
130,3,2026-01-25T19:15:12+00:00,2026-01-25T19:15:35+00:00,23.0,3.0,23.0,5-5-1,6-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
131,3,2026-01-25T19:15:38+00:00,2026-01-25T19:16:11+00:00,33.0,5.0,33.0,6-5-1,6-5-2,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
132,3,2026-01-25T19:16:16+00:00,2026-01-25T19:16:33+00:00,17.0,80.0,17.0,6-5-2,7-5-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
133,3,2026-01-25T19:17:53+00:00,2026-01-25T19:18:13+00:00,20.0,4.0,20.0,7-5-2,5-7-1,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
134,3,2026-01-25T19:18:17+00:00,2026-01-25T19:18:35+00:00,18.0,8.0,18.0,5-7-1,5-7-2,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
135,3,2026-01-25T19:18:43+00:00,2026-01-25T19:19:00+00:00,17.0,8.0,17.0,5-7-2,6-7-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
136,3,2026-01-25T19:19:08+00:00,2026-01-25T19:19:24+00:00,16.0,2.0,16.0,6-7-2,7-6-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
137,3,2026-01-25T19:19:26+00:00,2026-01-25T19:19:47+00:00,21.0,4.0,21.0,7-6-1,8-6-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
138,3,2026-01-25T19:19:51+00:00,2026-01-25T19:20:15+00:00,24.0,50.0,24.0,8-6-1,9-6-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
139,3,2026-01-25T19:21:05+00:00,2026-01-25T19:21:32+00:00,27.0,1.0,27.0,9-6-1,9-6-2,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
140,3,2026-01-25T19:21:33+00:00,2026-01-25T19:21:48+00:00,15.0,8.0,15.0,9-6-2,10-6-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
141,3,2026-01-25T19:21:56+00:00,2026-01-25T19:22:13+00:00,17.0,,17.0,10-6-2,11-6-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
