t_s,rms,cheer_2_8k
143.75,0.04981,0.0002700
144.00,0.06996,0.0001562
144.25,0.07382,0.0001281
144.50,0.05954,0.0001163
144.75,0.05770,0.0000895
145.00,0.04417,0.0000540
145.25,0.01785,0.0000431
145.50,0.01637,0.0000691
145.75,0.01385,0.0000550
146.00,0.04163,0.0000454
146.25,0.06154,0.0001723
146.50,0.06768,0.0001401
146.75,0.07589,0.0001335
147.00,0.07080,0.0002183
147.25,0.06392,0.0002027
147.50,0.06901,0.0003212
147.75,0.06790,0.0001924
148.00,0.05757,0.0002847
148.25,0.04465,0.0001379
148.50,0.04468,0.0001641
148.75,0.05636,0.0003030
149.00,0.06154,0.0001835
149.25,0.05555,0.0001081
149.50,0.04398,0.0001271
149.75,0.04491,0.0001247
150.00,0.04874,0.0001359
150.25,0.04555,0.0001911
150.50,0.04392,0.0001382
150.75,0.04053,0.0001267
151.00,0.03559,0.0000931
151.25,0.02376,0.0000833
151.50,0.02044,0.0000957
151.75,0.03634,0.0000945
152.00,0.05209,0.0001570
152.25,0.05323,0.0001651
152.50,0.05938,0.0002590
152.75,0.07388,0.0003421
153.00,0.08775,0.0003353
153.25,0.08495,0.0002520
153.50,0.07690,0.0002811
153.75,0.07990,0.0002462
154.00,0.07930,0.0002780
154.25,0.08077,0.0002220
154.50,0.07550,0.0002223
154.75,0.06640,0.0001799
155.00,0.07510,0.0001897
155.25,0.08207,0.0002001
155.50,0.07406,0.0002092
155.75,0.05743,0.0001776
156.00,0.04469,0.0002268
156.25,0.04603,0.0001525
156.50,0.05124,0.0001551
156.75,0.05928,0.0001713
157.00,0.06915,0.0003416
157.25,0.06326,0.0002440
157.50,0.05830,0.0001853
157.75,0.06763,0.0003793
158.00,0.06459,0.0002017
158.25,0.05708,0.0001729
158.50,0.05771,0.0001852
158.75,0.05412,0.0001866
159.00,0.05615,0.0000875
159.25,0.05067,0.0000801
159.50,0.02547,0.0000619
159.75,0.01716,0.0000461
160.00,0.01767,0.0000641
160.25,0.01647,0.0000530
160.50,0.01194,0.0000391
160.75,0.01766,0.0000433
161.00,0.01948,0.0000770
161.25,0.01473,0.0000432
161.50,0.01387,0.0000450
161.75,0.01667,0.0000530
162.00,0.01999,0.0000674
162.25,0.01960,0.0000624
162.50,0.01815,0.0000553
162.75,0.02220,0.0001096
163.00,0.04497,0.0001485
163.25,0.05564,0.0001813
163.50,0.05017,0.0001643
163.75,0.03772,0.0000905
164.00,0.02103,0.0000611
164.25,0.01424,0.0000419
164.50,0.00976,0.0000377
164.75,0.01201,0.0000450
165.00,0.01250,0.0000411
165.25,0.01071,0.0000325
165.50,0.01109,0.0000446
165.75,0.02891,0.0000966
166.00,0.03486,0.0001234
166.25,0.02308,0.0000732
166.50,0.01242,0.0000441
166.75,0.02685,0.0000469
167.00,0.04044,0.0001836
167.25,0.03479,0.0001017
167.50,0.01833,0.0000561
167.75,0.01304,0.0000597
168.00,0.02023,0.0000302
168.25,0.02410,0.0000966
168.50,0.02169,0.0000524
168.75,0.01985,0.0000478
169.00,0.02510,0.0000888
169.25,0.02665,0.0000979
169.50,0.02348,0.0001095
169.75,0.02263,0.0000777
170.00,0.01760,0.0000595
170.25,0.02278,0.0000576
170.50,0.02944,0.0000872
170.75,0.03944,0.0000945
171.00,0.03854,0.0000989
171.25,0.02790,0.0000726
171.50,0.03217,0.0001079
171.75,0.02890,0.0000819
172.00,0.02713,0.0000750
172.25,0.03888,0.0001857
172.50,0.03367,0.0001135
172.75,0.01792,0.0000549
173.00,0.02960,0.0000649
173.25,0.03965,0.0002099
173.50,0.03643,0.0001073
173.75,0.03413,0.0001080
174.00,0.06466,0.0002303
174.25,0.08746,0.0003848
174.50,0.08708,0.0003855
174.75,0.08794,0.0002624
175.00,0.08930,0.0002622
