rally_cum,game,rally_in_game,slot,match_id,t0s,t1s,dur_s,lead_s,approx,slack_s,start_score,outcome,server_uuid,receiver_uuid,state_check
58,2,58,,,1509.2,1515.2,6.0,6.0,1,0.3,3-0-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
59,2,59,,,1539.6,1564.6,25.0,25.0,1,45.6,0-3-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
60,2,60,,,1566.6,1583.6,17.0,17.0,1,4.0,1-3-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
61,2,61,,,1593.3,1607.3,14.0,14.0,1,-6.7,1-3-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
62,2,62,,,1607.8,1616.8,9.0,9.0,1,2.5,3-1-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
63,2,63,,,1621.0,1636.0,15.0,15.0,1,-1.2,4-1-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
64,2,64,,,1641.5,1662.5,21.0,21.0,1,0.5,4-1-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
65,2,65,,,1670.3,1685.3,15.0,15.0,1,-0.8,1-4-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
66,2,66,,,1688.4,1707.4,19.0,19.0,1,-2.1,1-4-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
67,2,67,,,1706.7,1716.7,10.0,10.0,1,3.7,2-4-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
68,2,68,,,1718.9,1733.9,15.0,15.0,1,1.8,4-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
69,2,69,,,1736.0,1745.0,9.0,9.0,1,1.9,5-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
70,2,70,,,1809.6,1839.6,30.0,30.0,1,20.4,5-2-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
71,2,71,,,1846.4,1860.4,14.0,14.0,1,-3.8,5-2-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
72,2,72,,,1878.1,1897.1,19.0,19.0,1,-14.7,2-5-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
73,2,73,,,1899.5,1913.5,14.0,14.0,1,2.6,2-5-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
74,2,74,,,1917.9,1930.9,13.0,13.0,1,-2.4,5-2-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
75,2,75,,,1930.9,1946.9,16.0,16.0,1,3.0,5-2-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
76,2,76,,,1950.6,1964.6,14.0,14.0,1,2.3,2-5-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
77,2,77,,,1966.0,1983.0,17.0,17.0,1,2.6,3-5-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
78,2,78,,,1986.4,1998.4,12.0,12.0,1,9.6,4-5-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
79,2,79,,,2003.7,2019.7,16.0,16.0,1,1.7,4-5-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
80,2,80,,,2023.8,2049.8,26.0,26.0,1,2.9,5-5-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
81,2,81,,,2076.6,2104.6,28.0,28.0,1,94.2,6-5-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
82,2,82,,,2109.8,2123.8,14.0,14.0,1,-1.2,5-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
83,2,83,,,2124.9,2140.9,16.0,16.0,1,1.9,6-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
84,2,84,,,2143.9,2158.9,15.0,15.0,1,1.0,7-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
85,2,85,,,2220.8,2259.8,39.0,39.0,1,6.1,8-6-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
86,2,86,,,2266.2,2285.2,19.0,19.0,1,-3.4,8-6-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
87,2,87,,,2294.5,2308.5,14.0,14.0,1,-3.3,6-8-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
88,2,88,,,2317.3,2363.3,46.0,46.0,1,-5.8,6-8-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
89,2,89,,,2380.0,2394.0,14.0,14.0,1,-13.7,7-8-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
90,2,90,,,2417.5,2440.5,23.0,23.0,1,-18.5,8-7-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
91,2,91,,,2454.7,2463.7,9.0,9.0,1,-8.2,8-7-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
92,2,92,,,2469.2,2484.2,15.0,15.0,1,-0.5,7-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
93,2,93,,,2495.1,2509.1,14.0,14.0,1,-7.9,8-8-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
94,2,94,,,2515.7,2526.7,11.0,11.0,1,-1.6,8-8-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
95,2,95,,,2527.0,2549.0,22.0,22.0,1,6.7,9-8-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
96,2,96,,,1360.0,1368.2,17.0,17.0,0,-2.5,8-9-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,bugstate
97,2,97,,,2604.0,2615.0,11.0,11.0,1,-22.5,8-9-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
98,2,98,,,1366.5,1390.2,16.0,16.0,0,-5.6,9-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,bugstate
