rally,game,t_start,t_end,outcome,start_score,server_uuid,receiver_uuid,pred_receiver_uuid,receiver_ok,parity_ok,team_A_R,team_A_L,team_B_R,team_B_L,server_half,server_team
64,2,2026-01-25T18:40:43+00:00,2026-01-25T18:41:04+00:00,sideout,4-1-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,79a11da1-6aeb-4719-9b1e-9918e0163cec,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,B
65,2,2026-01-25T18:41:11+00:00,2026-01-25T18:41:26+00:00,second,1-4-1,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
66,2,2026-01-25T18:41:27+00:00,2026-01-25T18:41:46+00:00,point,1-4-2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,fc05556e-3e38-4a38-99c2-f855174a7c28,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,A
67,2,2026-01-25T18:41:49+00:00,2026-01-25T18:41:59+00:00,sideout,2-4-2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
68,2,2026-01-25T18:42:03+00:00,2026-01-25T18:42:18+00:00,point,4-2-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,B
69,2,2026-01-25T18:42:22+00:00,2026-01-25T18:42:31+00:00,point,5-2-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,79a11da1-6aeb-4719-9b1e-9918e0163cec,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,B
70,2,2026-01-25T18:43:56+00:00,2026-01-25T18:44:26+00:00,second,5-2-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,B
71,2,2026-01-25T18:44:29+00:00,2026-01-25T18:44:43+00:00,sideout,5-2-2,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,B
72,2,2026-01-25T18:44:46+00:00,2026-01-25T18:45:05+00:00,second,2-5-1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
73,2,2026-01-25T18:45:10+00:00,2026-01-25T18:45:24+00:00,sideout,2-5-2,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,A
74,2,2026-01-25T18:45:26+00:00,2026-01-25T18:45:39+00:00,second,5-2-1,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,B
75,2,2026-01-25T18:45:42+00:00,2026-01-25T18:45:58+00:00,sideout,5-2-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,B
76,2,2026-01-25T18:46:04+00:00,2026-01-25T18:46:18+00:00,point,2-5-1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
77,2,2026-01-25T18:46:22+00:00,2026-01-25T18:46:39+00:00,point,3-5-1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,0,0,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,A
78,2,2026-01-25T18:46:52+00:00,2026-01-25T18:47:04+00:00,second,4-5-1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,0,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
