rally,slot,match_id,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
63,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:50:44+00:00,2026-07-25T18:51:06+00:00,22.0,1.0,22.0,2-9-1,2-9-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
64,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:51:07+00:00,2026-07-25T18:51:25+00:00,18.0,4.0,18.0,2-9-2,3-9-2,point,4af4d4d1-9f87-4dc7-95f2-b10751d44c15,50c2125b-406c-41e7-aad6-5432c7cd8e1c
65,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:51:29+00:00,2026-07-25T18:51:40+00:00,11.0,3.0,11.0,3-9-2,9-3-1,sideout,4af4d4d1-9f87-4dc7-95f2-b10751d44c15,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
66,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:51:43+00:00,2026-07-25T18:52:01+00:00,18.0,4.0,18.0,9-3-1,10-3-1,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
67,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:52:05+00:00,2026-07-25T18:52:20+00:00,15.0,,15.0,10-3-1,11-3-1,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
68,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:56:08+00:00,2026-07-25T18:56:45+00:00,37.0,1.0,37.0,0-0-2,0-0-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,88fb0858-b9c3-4620-9408-0dda0eb241ef
69,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:56:46+00:00,2026-07-25T18:57:02+00:00,16.0,0.0,16.0,0-0-1,0-0-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,29e8121d-6f86-4192-b7af-ab05b77b89fe
70,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:57:02+00:00,2026-07-25T18:57:19+00:00,17.0,3.0,17.0,0-0-2,0-0-1,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
71,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:57:22+00:00,2026-07-25T18:57:40+00:00,18.0,3.0,18.0,0-0-1,0-0-2,second,29e8121d-6f86-4192-b7af-ab05b77b89fe,88fb0858-b9c3-4620-9408-0dda0eb241ef
72,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:57:43+00:00,2026-07-25T18:58:04+00:00,21.0,2.0,21.0,0-0-2,0-0-1,sideout,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,676b1cbc-766c-4616-bf39-1787ffd8c72a
73,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:58:06+00:00,2026-07-25T18:58:25+00:00,19.0,1.0,19.0,0-0-1,0-0-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,29e8121d-6f86-4192-b7af-ab05b77b89fe
74,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:58:26+00:00,2026-07-25T18:58:45+00:00,19.0,2.0,19.0,0-0-2,0-0-1,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
75,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:58:47+00:00,2026-07-25T18:59:17+00:00,30.0,1.0,30.0,0-0-1,1-0-1,point,29e8121d-6f86-4192-b7af-ab05b77b89fe,88fb0858-b9c3-4620-9408-0dda0eb241ef
76,3,0a157968-7250-42fa-96e4-62c64da9a24b,1,2026-07-25T18:59:18+00:00,2026-07-25T18:59:37+00:00,19.0,1.0,19.0,1-0-1,1-0-2,second,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a
