t_s,player,x_ft,y_ft
14.243,Emma Nelson,6.4,8.37
14.243,Etta Tuionetoa,6.65,30.63
14.243,Ting Chieh Wei,14.67,9.19
14.293,Allyce Jones,15.93,31.77
14.293,Emma Nelson,6.41,8.46
14.293,Etta Tuionetoa,6.65,30.65
14.293,Ting Chieh Wei,14.7,9.22
14.343,Allyce Jones,15.93,31.87
14.343,Emma Nelson,6.42,8.51
14.343,Etta Tuionetoa,6.64,30.71
14.343,Ting Chieh Wei,14.83,9.22
14.393,Allyce Jones,15.91,31.87
14.393,Emma Nelson,6.44,8.55
14.393,Etta Tuionetoa,6.63,30.71
14.393,Ting Chieh Wei,15.09,9.22
14.443,Allyce Jones,15.88,31.87
14.443,Emma Nelson,6.45,8.58
14.443,Etta Tuionetoa,6.62,30.71
14.443,Ting Chieh Wei,15.42,9.22
14.493,Allyce Jones,15.84,31.87
14.493,Emma Nelson,6.48,8.6
14.493,Etta Tuionetoa,6.62,30.71
14.493,Ting Chieh Wei,15.7,9.22
14.543,Allyce Jones,15.77,31.87
14.543,Emma Nelson,6.53,8.77
14.543,Etta Tuionetoa,6.62,30.71
14.543,Ting Chieh Wei,15.82,9.16
14.593,Allyce Jones,15.68,31.81
14.593,Emma Nelson,6.53,8.98
14.593,Etta Tuionetoa,6.62,30.69
14.593,Ting Chieh Wei,16.0,9.02
14.643,Allyce Jones,15.57,31.68
14.643,Emma Nelson,6.53,9.0
14.643,Etta Tuionetoa,6.6,30.46
14.643,Ting Chieh Wei,16.18,8.83
14.693,Allyce Jones,15.49,31.55
14.693,Emma Nelson,6.53,9.01
14.693,Etta Tuionetoa,6.53,30.18
14.693,Ting Chieh Wei,16.32,8.69
14.743,Allyce Jones,15.43,31.37
14.743,Emma Nelson,6.53,9.01
14.743,Etta Tuionetoa,6.47,29.95
14.743,Ting Chieh Wei,16.38,8.66
14.793,Allyce Jones,15.38,31.31
14.793,Emma Nelson,6.52,9.01
14.793,Etta Tuionetoa,6.43,29.71
14.793,Ting Chieh Wei,16.51,8.64
14.843,Allyce Jones,15.37,31.17
14.843,Emma Nelson,6.47,9.01
14.843,Etta Tuionetoa,6.39,29.66
14.843,Ting Chieh Wei,16.66,8.51
14.893,Allyce Jones,15.37,30.8
14.893,Emma Nelson,6.42,9.01
14.893,Etta Tuionetoa,6.35,29.65
14.893,Ting Chieh Wei,16.77,8.4
14.943,Allyce Jones,15.37,30.4
14.943,Emma Nelson,6.4,9.0
14.943,Etta Tuionetoa,6.33,29.61
14.943,Ting Chieh Wei,16.87,8.3
14.993,Allyce Jones,15.37,30.1
14.993,Emma Nelson,6.4,9.0
14.993,Etta Tuionetoa,6.33,29.51
14.993,Ting Chieh Wei,16.97,8.18
15.043,Allyce Jones,15.37,29.7
15.043,Emma Nelson,6.4,9.0
15.043,Etta Tuionetoa,6.33,29.4
15.043,Ting Chieh Wei,17.05,8.06
15.093,Allyce Jones,15.39,29.59
15.093,Emma Nelson,6.4,8.98
15.093,Etta Tuionetoa,6.33,29.38
15.093,Ting Chieh Wei,17.11,7.96
15.143,Allyce Jones,15.39,29.54
15.143,Emma Nelson,6.4,8.94
15.143,Etta Tuionetoa,6.33,29.33
15.143,Ting Chieh Wei,17.14,7.87
15.193,Allyce Jones,15.39,29.53
15.193,Emma Nelson,6.4,8.92
15.193,Etta Tuionetoa,6.36,29.27
15.193,Ting Chieh Wei,17.15,7.75
15.243,Allyce Jones,15.39,29.53
15.243,Emma Nelson,6.4,8.88
15.243,Etta Tuionetoa,6.36,29.26
15.243,Ting Chieh Wei,17.15,7.54
15.293,Allyce Jones,15.39,29.53
15.293,Emma Nelson,6.4,8.88
15.293,Etta Tuionetoa,6.36,29.26
15.293,Ting Chieh Wei,17.15,7.26
15.343,Allyce Jones,15.39,29.56
15.343,Emma Nelson,6.4,8.88
15.343,Etta Tuionetoa,6.36,29.27
15.343,Ting Chieh Wei,17.15,7.25
