p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Craig Johnson,Audrey Adele Brown,mixed,5,0.025,0.544,0.52,66.0
Zane Navratil,Lina Padegimaite,mixed,6,-0.235,0.545,0.326,0.6
Lingwei Kong,Michael Loyd,mixed,4,0.054,0.519,0.544,75.2
Julian Arnold,Lauren Stratman,mixed,11,-0.08,0.504,0.444,18.3
Yates Johnson,Samantha Parker,mixed,2,-0.045,0.511,0.459,34.0
Rachel Rohrabacher,Will Howells,mixed,8,0.197,0.501,0.644,95.4
Christa Gecheva,Yuta Funemizu,mixed,22,-0.167,0.507,0.371,3.2
Allyce Jones,Connor Garnett,mixed,45,0.179,0.473,0.64,94.3
Eric Roddy,Marcela Aguila Ampon,mixed,2,-0.029,0.555,0.481,43.0
Anna Leigh Waters,Ben Johns,mixed,111,0.125,0.521,0.599,89.4
Jay Devilliers,Jessie Irvine,mixed,44,0.167,0.473,0.631,93.5
Liz Truluck,Martin Emmrich,mixed,5,-0.245,0.51,0.331,0.5
Mary Brascia,Wyatt Stone,mixed,15,0.112,0.521,0.578,87.6
Jack Sock,Mari Humberg,mixed,10,0.01,0.514,0.517,60.7
Hannah Blatt,Christopher Haworth,mixed,4,0.042,0.522,0.536,72.0
Abigail Okelley,Stevie Petropouleas,womens,2,-0.06,0.524,0.459,27.7
Kaitlyn Christian,Travis Rettenmaier,mixed,4,0.062,0.559,0.538,77.2
Chloe Igleski,Darrian Young,mixed,9,-0.075,0.537,0.434,20.4
Kate Fahey,Federico Staksrud,mixed,78,0.038,0.453,0.536,70.5
Tyler Loong,Brandon French,mens,8,0.06,0.506,0.538,76.6
Rachel Rohrabacher,Catherine Parenteau,womens,61,0.22,0.499,0.666,96.5
Abbigal Hatton,Albie Huang,womens,7,0.132,0.509,0.586,90.2
Ben Johns,Gabriel Tardio,mens,113,-0.133,0.46,0.402,6.9
Tam Trinh,Juan Benitez,mens,4,0.009,0.513,0.511,60.3
Julian Arnold,Patrick Smith,mens,8,0.298,0.529,0.715,98.6
Luana Stanciu,Rachel Rettger,womens,4,-0.044,0.53,0.472,34.7
Ella Yeh,Jaeda Minniefield,womens,4,0.027,0.536,0.514,66.7
Elsie Hendershot,Ella Cosma,womens,2,0.016,0.557,0.516,63.2
Hunter Johnson,Wyatt Stone,mens,7,-0.032,0.477,0.481,41.2
Hannah Blatt,Allison Phillips,womens,7,-0.116,0.545,0.421,9.1
Samantha Parker,Christa Gecheva,womens,12,0.13,0.515,0.601,89.9
Kate Fahey,Tina Pisnik,womens,7,-0.17,0.535,0.396,3.0
Angie Walker,Alex Walker,womens,22,0.01,0.475,0.497,61.1
Zoeya Khan,Kiora Kunimoto,womens,3,-0.107,0.547,0.438,10.6
AJ Koller,Jonathan Truong,mens,6,0.012,0.513,0.521,61.8
Jace Morris,Wil Shaffer,mens,5,-0.003,0.492,0.494,55.6
Dylan Frazier,Lea Jansen,mixed,41,0.18,0.484,0.633,94.4
Zane Navratil,Blaine Hovenier,mens,7,0.216,0.538,0.654,96.3
Michael Loyd,Donald Young,mens,6,-0.103,0.502,0.423,11.6
Stephen Madonia,Connor Mogle,mens,9,0.05,0.523,0.554,74.3
Cailyn Campbell,Giovanna Morelli,womens,4,-0.06,0.499,0.451,27.6
Noe Khlif,Will Howells,mens,41,-0.307,0.485,0.259,0.1
Zane Ford,John Lucian Goins,mens,4,-0.076,0.531,0.454,20.0
Daniel Phillips,Chuck Taylor,mens,2,-0.004,0.513,0.491,55.4
Armaan Bhatia,Yuta Funemizu,mens,7,0.073,0.53,0.56,79.7
Gabriel Joseph,Spartak Rahachou,mens,6,-0.023,0.491,0.483,45.7
Travis Rettenmaier,Braden Jacobson,mens,6,0.035,0.487,0.515,69.4
Edward Perez,Austin Bricker,mens,7,0.045,0.532,0.533,72.6
Gregory Dow,Anderson Scarpa,mens,28,-0.222,0.53,0.344,1.0
Andre Mercado,Tama Shimabukuro,mens,3,0.121,0.55,0.584,88.6
Angie Walker,James Delgado,mixed,7,-0.224,0.532,0.341,0.9
Mohaned Alhouni,Genie Erokhina,mixed,10,-0.167,0.501,0.364,3.2
Anna Leigh Waters,Anna Bright,womens,98,0.053,0.529,0.531,75.0
Cason Campbell,Adam Harvey,mens,37,0.003,0.488,0.505,58.5
Grayson Goldin,Christopher Haworth,mens,5,0.045,0.534,0.516,72.6
Mohaned Alhouni,Mota Alhouni,mens,3,-0.035,0.505,0.486,39.8
Ross Whittaker,Ivan Jakovljevic,mens,21,0.026,0.496,0.509,66.5
Jack Sock,Pablo Tellez,mens,33,0.246,0.513,0.674,97.6
Roscoe Bellamy,Darrian Young,mens,7,-0.069,0.492,0.433,23.1
Nicole Conard,Isabella Dunlap,womens,29,0.17,0.49,0.625,93.7
Yates Johnson,Marshall Brown,mens,2,-0.057,0.534,0.469,28.7
Christopher Crouch,Anouar Braham,mens,4,-0.036,0.543,0.476,39.2
Andrew Caldarella,John Cincola,mens,2,-0.054,0.512,0.47,30.4
Christian Alshon,Hayden Patriquin,mens,95,-0.238,0.466,0.306,0.6
JW Johnson,CJ Klinger,mens,88,0.377,0.487,0.768,99.5
Craig Johnson,Luke Wasson,mens,2,-0.038,0.532,0.474,37.5
Pesa Teoni,Luc Pham,mens,4,-0.063,0.527,0.449,26.4
Eric Roddy,James Delgado,mens,2,-0.078,0.53,0.441,19.3
Caden Nemoff,Wesley Burrows,mens,2,0.002,0.547,0.505,57.9
Jade Kawamoto,Jackie Kawamoto,womens,29,0.189,0.49,0.646,94.8
Andrei Daescu,Lacy Schneemann,mixed,7,0.003,0.526,0.49,58.2
Jorja Johnson,Tyra Hurricane Black,womens,83,-0.136,0.462,0.382,6.3
Kaitlyn Christian,Jessie Irvine,womens,44,-0.155,0.472,0.38,4.4
