p1_name,p2_name,chem_logit_mean,chem_logit_sd
Callan Dawson,Emilia Schmidt,0.002,0.0468
Christine Trifunovic,Brandon French,0.0016,0.0488
Dana Raugust,Daniel Jensen,-0.0035,0.0503
Craig Johnson,Audrey Adele Brown,-0.0057,0.0474
Ashlee Candelaria,Ryan Finley,0.0016,0.0493
Nicole Eugenio,Blaine Hovenier,0.0016,0.0508
Court Zalinski,Austin Oreilly,-0.005,0.0507
Zach Gonnering,Lucah Folden,0.0121,0.0514
Nico Valencia,Dionne Lim,-0.0056,0.0523
Paige Miles,Keith Read,0.0159,0.0489
Patrick Kawka,Salome Devidze,0.0073,0.0509
Ross Whittaker,Pierina Imparato,-0.0045,0.0484
Casey Diamond,Ava Ignatowich,-0.0014,0.0495
Liz Truluck,Aanik Lohani,-0.0043,0.0448
Augustus Ge,Tyra Hurricane Black,0.0447,0.047
Rafa Hewett,Jade Kawamoto,-0.0044,0.0487
Reyna Ash,Luke Ness,0.0016,0.0485
Allison Chuang,Ryan Gilbert,-0.0005,0.0512
Kailas Shekar,Joana Stark,-0.0061,0.0507
Amanda Jarrett,Jeffrey Stone Jr.,-0.0067,0.0508
Matthew Mead,Madeline Saunders,0.0052,0.0471
Averee Beck,Logan Rosenbach,-0.0029,0.0472
Nate Gross,Brooklyn Tolentino,-0.0007,0.0501
Samantha Parker,Jonny Pickleball Andrews,0.0061,0.0492
Susannah Barr,Spencer Smith,0.0058,0.0467
Alexis Saucerman,Jake Kuhlman,-0.0025,0.0473
Kristin Vogel,Ryan Eveloff,-0.002,0.0499
Dalia Garza,Sam Angelo,-0.0038,0.0459
Samantha Goldenhersh,Nicholas Wade,-0.0056,0.0512
Cassidy Hoag,Brooke Revuelta,0.0068,0.0503
Nora Tan,Joana Stark,-0.0043,0.0494
Jay Devilliers,Ben Newell,0.0093,0.0503
Erik Pailet,Jericho Grollman,-0.0128,0.0484
Noah Zwiren,Elliot Markowitz,-0.002,0.0504
Johnny Goldberg,Will Howells,0.0039,0.051
Lea Jansen,Susannah Barr,0.0035,0.0505
Nicola Slater,Monica Piekarski,-0.0023,0.0509
Roscoe Bellamy,Wesley Burrows,0.0021,0.0503
Tamaryn Emmrich,Mari Humberg,-0.0085,0.0478
Marshall Brown,Anderson Scarpa,-0.0019,0.047
Jackson Ayotte,Daniel Jensen,0.0129,0.0513
David Hall,Bryce Larson,-0.0059,0.0498
Gabriel Joseph,Will Jamieson,0.0022,0.0472
Blaine Hovenier,Ryan Eveloff,-0.0062,0.0502
