player_id,name,gender,games,b_adjusted,se,z,clutch_shrunk,shrunk_sd
b5256e08-9c6a-4eb3-8fe6-f522b269c1ab,Dana Raugust,F,80,0.004885,0.012405,0.394,0.001301,0.004663
65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,F,266,0.002296,0.006543,0.351,0.001300,0.003989
bb4de7dc-9f25-4218-a601-318492e0884c,Usama Khalid,M,88,0.005153,0.012874,0.400,0.001300,0.004687
38fdc174-96d6-459f-a27c-df35eb9f945c,Ashley Griffith,F,210,0.002515,0.007473,0.337,0.001274,0.004174
c2a65079-49d6-4023-a03f-a97bc3be3bf8,Daniel Jensen,M,90,0.003346,0.009799,0.341,0.001261,0.004477
ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M,131,0.003041,0.009298,0.327,0.001239,0.004426
4af4d4d1-9f87-4dc7-95f2-b10751d44c15,Tama Shimabukuro,M,269,0.002081,0.006416,0.324,0.001233,0.003960
ce39808f-90a7-4c17-9566-c6c83697b695,Marco Leung,M,64,0.005098,0.013726,0.371,0.001231,0.004725
3fc70f61-f10c-4539-9b5a-82911efc966a,Ava Cavataio,F,77,0.004203,0.012438,0.338,0.001202,0.004665
9647bc45-f17b-43c8-9658-32448d4d95b9,Leah Tauber,F,77,0.004399,0.012957,0.339,0.001194,0.004691
ad6e69ff-7913-4b21-86dd-9489f749be01,Paula Rives,F,194,0.002028,0.006657,0.305,0.001190,0.004014
4057f30d-d42a-4189-a158-11576fb5f52a,Blaine Hovenier,M,477,0.001557,0.004870,0.320,0.001148,0.003499
80217cca-df99-4019-a90f-385622ca057a,Zach Gonnering,M,226,0.001875,0.006530,0.287,0.001145,0.003986
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,598,0.001391,0.004367,0.319,0.001099,0.003298
6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,483,0.001441,0.005043,0.286,0.001075,0.003562
1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,F,285,0.001519,0.006276,0.242,0.001027,0.003926
fe1a9f36-62eb-4ce2-b068-cb754c00051e,Nicola Schoeman,F,66,0.003824,0.014977,0.255,0.001027,0.004770
79ee2d66-5ba3-47cc-bc43-f489a09d2d5a,George Rangelov,M,179,0.001736,0.008018,0.217,0.001001,0.004262
0b75af4a-8c68-4ff7-a2f1-09bda71b5bed,Andre Mercado,M,192,0.001577,0.007270,0.217,0.000991,0.004138
9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F,304,0.001348,0.006202,0.217,0.000964,0.003908
e9849183-4693-4340-abf5-f4b6f3cb226f,Martin Emmrich,M,360,0.001207,0.005462,0.221,0.000939,0.003701
