uuid,name,gender,n_high,n_low,serve_regular,return_regular,serve_big,return_big,regular,big,lift,lift_se,z,skill_adj,lift_rank,skill_adj_rank,lift_halfA,lift_halfB
66e1ddf7-61f6-4683-afdf-b6cc313af407,Todd Fought,M,2270,4530,0.0355,0.0123,0.1752,-0.0789,0.0478,0.0963,0.0486,0.1038,0.47,-0.0139,275,396,-0.0779,-0.0385
35f81e87-382e-41cc-9bab-687116861954,Jace Morris,M,1472,2926,-0.0884,0.0328,-0.0139,0.0046,-0.0556,-0.0093,0.0463,0.1307,0.35,-0.09,276,511,0.029,-0.0488
f370a1a0-2e1a-463b-a35c-30899131f7d6,Troy Akin,M,739,1468,-0.0271,0.2081,0.0971,0.1299,0.181,0.227,0.046,0.1747,0.26,-0.0525,277,457,0.1539,-0.2317
8fb8df0b-4365-4585-b5b9-a489397a79c9,Khuong Huynh,M,205,423,0.0176,-0.0606,0.048,-0.0481,-0.043,-0.0001,0.043,0.2896,0.15,0.1443,278,196,0.0561,-0.0161
fc90f09b-f8a7-4c1f-922b-bbf3294cd736,Rougel Jon Lutz Aninon,M,428,898,0.068,-0.0304,0.109,-0.0285,0.0377,0.0805,0.0428,0.2097,0.2,-0.062,279,472,-0.0915,0.1456
3f872035-3abb-434d-9fc7-6134ec6c40f5,Alvaro Terron,M,191,416,-0.0056,-0.0167,-0.0163,0.0356,-0.0224,0.0193,0.0416,0.2589,0.16,-0.0577,280,464,0.1123,-0.0194
5106c31c-ea6c-49ba-81ca-b622b1d7afd1,Mackonner Dy,M,161,276,-0.0198,-0.0874,0.0165,-0.0821,-0.1072,-0.0657,0.0415,0.2818,0.15,0.1522,281,189,0.078,0.1286
0dfe6dd7-dcc9-407b-a761-1cafc880401b,Erik Pailet,M,1051,2035,0.055,0.0069,0.0902,0.0119,0.0619,0.1021,0.0402,0.1674,0.24,-0.0431,282,441,-0.1904,0.2265
5a5237bd-64cd-433c-99ba-34badaa2820c,Braylon Ohrel,M,212,363,-0.0062,-0.038,-0.0492,0.045,-0.0442,-0.0043,0.0399,0.2867,0.14,0.0731,283,269,-0.07,0.0807
337c76f4-2e83-4a59-b66b-7dc2e0555ce2,Cassidy Hoag,F,1020,2162,-0.0203,0.1332,0.1129,0.0396,0.113,0.1525,0.0395,0.1424,0.28,-0.0658,284,477,0.0136,0.0082
437c71fe-2e32-4ba4-b053-96e21195fe4b,Yu-Chieh Hsieh,F,416,799,-0.1164,0.069,-0.1309,0.123,-0.0473,-0.0078,0.0395,0.2192,0.18,-0.1076,285,538,-0.0967,0.1501
