uuid,name,gender,n,attack,attack_se,defend,defend_se,level_serve,level_return,total
7f36e416-0907-43b2-8ec4-e9533088e30f,Bobbi Oshiro,F,3155,0.1595424585906925,0.04774536520126264,0.1617496866983739,0.048474495314717654,0.10863865906678116,0.03554179163590816,0.32129214528906636
4af4d4d1-9f87-4dc7-95f2-b10751d44c15,Tama Shimabukuro,M,9609,0.12082000441582012,0.030153747322947934,0.19914519395427555,0.029272025196444045,0.051045709941826424,0.04154720024616219,0.3199651983700957
504e8c08-caf6-4db8-b454-11ffa321261c,Lucy Kovalova,F,14785,0.1546566697405773,0.024065576623772168,0.16491342714474638,0.024250868495001673,-0.0008280081975290595,0.0515709846034997,0.3195700968853237
88fb0858-b9c3-4620-9408-0dda0eb241ef,Tyler Loong,M,18500,0.1482669211954416,0.021471350506263736,0.17029406361466248,0.021223052077120236,0.0027726367830192417,0.06496338947043687,0.3185609848101041
5c817399-aea7-481d-9a83-aab7431eabc1,Alex Emery,M,1833,0.12799391238078783,0.05982466434794644,0.1877380913589008,0.05899146939641682,0.012033100411523556,0.06440734142262187,0.3157320037396886
fa8d5d28-d8f5-4996-8c35-0f4ca3c35bae,Anderson Scarpa,M,14709,0.20143228472340605,0.024358434218847966,0.11057027409255125,0.023877619656933007,-0.008477659106329544,0.05849242977270023,0.3120025588159573
461f063e-a587-4638-bad9-421ff33d91d7,Genie Erokhina,F,16643,0.17891986169638588,0.022664233373318656,0.13306609306694678,0.023040253129568835,0.030358057481315336,0.034991962814773445,0.3119859547633327
06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,Brooke Buckner,F,16497,0.16402080959094256,0.022927887217141674,0.14682743138871618,0.022795227800461077,-0.009248917057910252,0.07518735456435267,0.31084824097965874
62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M,10030,0.18086977864312495,0.028721465388145444,0.12994012884499,0.029136169922456556,0.06642840475681211,0.006920457511890751,0.310809907488115
20945292-032a-47f1-93c5-d44ada6e4783,Yufei Long,F,4334,0.17955553317402417,0.04309794794135561,0.1286092332594617,0.04265787018866661,-0.005870065901350586,0.05117458469193412,0.3081647664334859
9ce32de7-16c9-4786-a7b0-8c1c2c623d69,Rafael Lenhard,M,6585,0.15584738354921096,0.03583053234833894,0.14732868086596174,0.03500678255519553,0.07545786498901817,-0.0266799492330202,0.3031760644151727
