p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Michelle McLaughlan,Chase Ora,mixed,2,0.003,0.497,0.503,58.3
Janet Liu,Angel Hernandez,mixed,2,-0.043,0.446,0.469,30.8
Mike Radermacher,Jessica Ho,mixed,9,-0.074,0.488,0.447,15.1
Rafael Lenhard,Troy Akin,mens,25,0.276,0.465,0.726,99.1
Dylan Fullmer,Justin Fullmer,mens,11,0.018,0.49,0.526,65.1
Josh Bellisime,Matthew Mead,mens,5,-0.026,0.483,0.481,41.9
Isaac Hall,Aiden Schliekelman,mens,12,-0.067,0.481,0.456,17.9
Brian Bonilla,Mike Radermacher,mens,8,-0.061,0.463,0.462,20.8
Ant Tran,Flynn Orton,mens,5,0.07,0.498,0.549,83.4
Roman Hill,Alexander Valencia,mens,2,-0.057,0.479,0.451,23.1
Amir Tabatabaeian,Tiffany Wang,mixed,9,0.037,0.474,0.532,72.6
Ethan Bakalinsky,Eddy Kim,mens,11,0.153,0.462,0.631,94.6
Tennessee P,Logan Formaniuk,mens,2,-0.05,0.489,0.475,26.7
Levi Daniel,Amir Tabatabaeian,mens,8,-0.03,0.461,0.468,39.0
Duncan Mulenga Jr.,Martin Thomas,mens,11,0.023,0.462,0.519,67.7
Savanna Ticknor,Jace Howard,mixed,2,-0.093,0.463,0.436,9.8
Julianna Hess,Aizec Olson,mixed,4,0.085,0.482,0.56,85.9
Scott Berke,Chloe Diskin,mixed,3,-0.076,0.508,0.449,14.2
Martin Thomas,Elizabeth Roy,mixed,10,-0.06,0.462,0.441,21.6
Cori Sidell,Harrison Brown,mixed,3,-0.022,0.506,0.481,44.5
Erik Pailet,Jericho Grollman,mens,8,-0.09,0.462,0.428,10.5
Aizec Olson,Lucas Bellamy,mens,5,-0.069,0.497,0.46,17.1
Luke Calvert,Will Gardner,mens,3,-0.012,0.489,0.505,49.9
Janet Liu,Tiffany Wang,womens,2,-0.114,0.481,0.433,5.7
Hayden Rand,William Hsieh,mens,9,0.018,0.431,0.504,65.0
Beau Martin,Kyle Borawski,mens,4,-0.086,0.444,0.428,11.3
Louie Payetta,Chase Ora,mens,2,-0.057,0.47,0.464,23.0
Aaron Li,Matthew Powley,mens,11,0.104,0.447,0.587,89.6
Duncan Mulenga Jr.,Journey Barajas,mixed,2,-0.058,0.48,0.454,22.3
Jordan Theron,Chiron Burl,mens,7,0.054,0.477,0.536,78.2
Mackonner Dy,Michael McCaffrey,mens,3,0.02,0.463,0.516,66.0
Ishan Balakrishnan,Joshua Yoo,mens,10,0.034,0.467,0.516,71.6
Tanner Suard,Blake Suard,mens,2,-0.079,0.482,0.434,13.1
Jackson Ayotte,Jerry Worsham,mens,6,0.055,0.495,0.54,78.6
Chas Howard,Ethan Mahony,mens,2,-0.022,0.469,0.485,44.2
Zach Gonnering,Bret Berryman,mens,9,-0.016,0.452,0.486,47.4
Jonathan Truong,Alix Truong,mixed,24,-0.052,0.466,0.454,26.0
Stephen Madonia,Pierina Imparato,mixed,6,-0.003,0.468,0.509,55.3
Eduardo Santini Ayon,Joel Poland,mens,90,0.038,0.466,0.532,73.1
Maggie Brascia,Augustus Ge,mixed,7,-0.139,0.48,0.394,3.2
Ivan Jakovljevic,Judit Castillo,mixed,46,0.363,0.497,0.758,99.7
Christian Alshon,Tyra Hurricane Black,mixed,21,0.157,0.461,0.64,95.0
Ella Yeh,Adam Harvey,mixed,6,-0.007,0.476,0.505,52.5
Jade Rau,Cason Campbell,mixed,4,0.049,0.493,0.538,76.7
Caden Nemoff,Jaeda Minniefield,mixed,2,-0.063,0.479,0.44,19.9
Kento Tamaki,Claudio Quinones Garcia,mens,6,0.083,0.508,0.565,85.7
Gabriel Joseph,Ella Cosma,mixed,6,0.119,0.444,0.599,91.7
Catherine Parenteau,Gabriel Tardio,mixed,79,-0.008,0.43,0.487,52.0
Christine Trifunovic,Spartak Rahachou,mixed,4,-0.033,0.465,0.478,36.6
Elsie Hendershot,Andrew Caldarella,mixed,4,0.071,0.488,0.554,83.5
Chao Yi Wang,Tyson McGuffin,mixed,30,-0.077,0.44,0.424,13.8
Dekel Bar,Jackie Kawamoto,mixed,10,-0.051,0.481,0.464,26.4
Jalina Ingram,John Lucian Goins,mixed,15,0.0,0.457,0.517,57.1
