p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Abbie Monski,TJ Rudden,mixed,2,-0.006,0.404,0.502,48.2
Julian Arnold,Olivia McMillan,mixed,6,0.013,0.395,0.501,63.5
Emma Cook,Vincent Rettke,mixed,6,0.018,0.419,0.51,67.9
Eliana Ling,Andrew Angulo,mixed,2,-0.013,0.434,0.483,43.3
Morgan Downing,Kolton Youngblood,mixed,3,-0.011,0.427,0.488,44.5
Josh Oakman,Caraline Cox,mixed,2,-0.028,0.406,0.474,29.8
Haley Ferguson,Stephen Preissler,mixed,2,-0.029,0.415,0.47,29.4
Lova Metor,Patara Tezduyar,mixed,5,0.022,0.379,0.508,70.9
Sanil Jagtiani,Spencer Liang,mixed,2,0.0,0.433,0.501,54.9
Elise Fortino,Michael Hollings,mixed,2,-0.046,0.41,0.463,15.5
Casey Garretson,Lina Romero Alarcon,mixed,2,0.001,0.435,0.488,55.9
Rubelle Yoo,Logan Thompson,mixed,2,-0.033,0.424,0.482,26.1
Austin Bricker,Anne-Sophie Courteau,mixed,8,0.058,0.436,0.549,87.8
Thomas Provost,Fatyha Berjane,mixed,2,-0.035,0.441,0.469,23.4
Matvey Radionov,Mikaela Smith,mixed,3,0.005,0.4,0.508,58.8
Jonas Daehler,Natalie Araya,mixed,2,-0.029,0.431,0.484,29.2
Teresa Romero,Joshua Cornett,mixed,2,0.016,0.429,0.504,67.1
Brendan Gallagher,Katelyn Hilliard,mixed,3,0.017,0.425,0.519,67.6
Alexa Brent,Preston Ducrest,mixed,2,-0.04,0.419,0.484,18.9
Antonio Medina,Mya Barron,mixed,2,-0.014,0.4,0.488,42.7
Scott McRee,Masa Grgan,mixed,2,-0.084,0.466,0.441,3.0
Tammy Kim,Tyler Kane,mixed,2,-0.031,0.425,0.488,27.3
Sofia Manzanares,Michael Shaw,mixed,3,-0.012,0.414,0.513,43.7
Callie Smith,Roscoe Bellamy,mixed,2,0.053,0.457,0.531,85.9
Christopher Haworth,Jackie Kawamoto,mixed,5,0.02,0.371,0.511,69.3
Estee Widdershoven,Anouar Braham,mixed,8,0.055,0.391,0.532,87.1
Victoria Dimuzio,Tyler Loong,mixed,1,-0.041,0.396,0.456,18.6
Zane Navratil,Emma Nelson,mixed,5,-0.09,0.384,0.424,1.7
Christian Alshon,Christopher Haworth,mens,1,-0.058,0.426,0.457,8.4
Anouar Braham,Anderson Scarpa,mens,11,-0.024,0.405,0.469,33.2
Ting Chieh Wei,Elsie Hendershot,womens,12,0.043,0.388,0.531,81.6
Meghan Dizon,Rafael Lenhard,mixed,7,0.0,0.392,0.484,54.7
Liz Truluck,Clayton Powell,mixed,7,-0.099,0.426,0.411,1.0
Roscoe Bellamy,Clayton Powell,mens,14,0.062,0.427,0.559,89.2
Callie Smith,Liz Truluck,womens,4,-0.09,0.412,0.43,1.9
Hannah Blatt,Jackie Kawamoto,womens,11,-0.026,0.415,0.481,31.2
Isabella Dunlap,Estee Widdershoven,womens,10,-0.13,0.44,0.391,0.4
Rachel Rohrabacher,Christian Alshon,mixed,14,0.095,0.436,0.571,96.0
Isabella Dunlap,James Delgado,mixed,24,0.033,0.355,0.528,77.5
Zane Navratil,John Lucian Goins,mens,9,0.103,0.436,0.592,97.3
Dylan Frazier,Pablo Tellez,mens,10,0.088,0.426,0.577,94.8
Riley Newman,Christian Alshon,mens,15,0.103,0.406,0.585,97.2
Ting Chieh Wei,Emma Nelson,womens,2,0.015,0.406,0.519,66.3
Rafa Hewett,Lea Jansen,mixed,1,-0.029,0.469,0.474,29.5
Kaitlyn Christian,Lea Jansen,womens,9,-0.085,0.413,0.446,2.9
Chao Yi Wang,Roscoe Bellamy,mixed,12,-0.052,0.395,0.46,10.9
Tama Shimabukuro,Allyce Jones,mixed,3,-0.008,0.419,0.498,46.5
Ting Chieh Wei,John Lucian Goins,mixed,13,-0.069,0.397,0.466,4.8
Callie Smith,Clayton Powell,mixed,2,-0.048,0.435,0.456,14.2
Sahra Dennehy,Dylan Frazier,mixed,6,-0.008,0.388,0.494,47.1
