player_id,full_name,gender,name_variants
2a8b7adb-5f06-4b01-88a7-86e56d8d9274,Hannah Fife,F,"[""Hannah Fife""]"
2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M,"[""Luca Mack""]"
2acb2c6e-288a-4f0c-a294-4e54b878eee1,Andrew Phanmanee,M,"[""Andrew Phanmanee""]"
2b263831-6c1c-4189-8e0f-b7c6459cf415,Cassie Postma,,"[""Cassie Postma""]"
2b265c0d-e9b3-473e-9585-3670707c044e,Anastasia Outekhine,F,"[""Anastasia Outekhine""]"
2b508074-59ec-455c-8974-31de393bc165,Lyn Yuen Choo,F,"[""Lyn Yuen Choo""]"
2b56b414-7c42-4609-8b2c-285506bef036,Jayda Maldonado,,"[""Jayda Maldonado""]"
2b6f9cd1-b4bd-41a7-b418-4b3596fe6cdd,Max Zhang,M,"[""Max Zhang""]"
2ba55b93-98c3-4fbd-a963-95fc8467d00a,Kelly Jensen,F,"[""Kelly Jensen""]"
2bfe44bb-d558-411f-abeb-c8522dd42ce9,Julian Arnold,M,"[""Julian Arnold""]"
2c115b6b-4c0a-4992-9912-ed00d7bf07fc,Sam Kim,M,"[""Sam Kim""]"
2c1692a6-0fa2-47b0-9d2b-e12b5c054ef4,Janet Liu,F,"[""Janet Liu""]"
2c2a2b82-9ec7-4046-97cb-3a199ed507af,Oscar Serra,M,"[""Oscar Serra""]"
2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,"[""Danni-Elle Townsend""]"
2c59d3b0-507b-4387-83d3-010a1f4ce718,Patrick Matetich,M,"[""Patrick Matetich""]"
2c9e0897-8e8f-431c-a9a3-cb94dc20db87,Abhishek Bhargava,M,"[""Abhishek Bhargava""]"
2cb697da-8f48-4208-95ff-7e419fbc0013,Rachael Fitzgerald,F,"[""Rachael Fitzgerald""]"
2cdfbe76-f54d-411f-8bf4-b2e2ba1fd439,Nisal Liyanage,M,"[""Nisal Liyanage""]"
2d1e1dd4-906a-4a93-b172-4e948fa88041,Troy Jenike,M,"[""Troy Jenike""]"
2d4d304f-dcae-45f6-b26a-ab192ab0e1a1,Caleb Thompson,M,"[""Caleb Thompson""]"
