player_id,platform_rating_latest,n_snapshots
2f501a7d-c1f6-48ca-9e0f-8335475e7599,5.16,1
2feffeaa-aca5-4c5d-aad6-62eb0d38a6be,4.89,8
301d15bd-0b3f-4963-9af2-3aa3b55ebbd8,4.99,2
306da673-de7e-44f5-bc16-0738b44bd089,5.712,64
30d6d999-b324-4744-b08c-8309e83c57b0,6.06,3
30d7759b-93f0-467d-a07a-970ecfac06ba,6.3,9
30eb9a2b-1570-473f-8cf1-0f7c9d21b303,5.708,38
3138ce06-22c5-459d-8e83-30ffd8856b35,5.402,2
31482260-21a0-45c1-a8e5-ba5467027e20,5.42,4
316a0784-5829-4fad-89a1-438e5aac2504,4.941,10
319b7de4-3105-44d0-8eb6-9eb8ff0cf1ec,5.23,4
3270dc72-53b7-4d35-aa4c-7f8b7b6bf905,6.285,5
33008bc3-5853-43c0-88d6-1906e56263a2,4.943,1
330b8269-91fd-4a1f-ae38-9df3c2eb184c,4.472,1
33292af3-984d-4752-8d18-b3a5c147e9fe,5.942,32
3343b266-cf5f-4212-9fff-dab2f8872ddd,5.972,1
3352fcce-bc05-4a02-bf59-c1984cec3e56,5.067,2
33906d89-45c4-4e62-b680-5aa6a89f40be,5.966,4
33d699a2-a67e-4809-a9d2-3ba243a57081,5.222,2
33fcb3fe-f32a-4b52-9f31-4d2225c9b126,5.306,1
34049405-b415-4f3a-aade-5be0111ac7db,6.02,4
3418eaf5-4176-4ed6-ac5c-c45ea36e1f82,5.376,3
34270d82-e968-407d-a918-8aa57f0123a6,4.861,16
343b9c6b-dc79-4290-b143-5a20012fe646,5.1,1
348255bf-f94e-47cb-ab5d-95969c2bd7b9,5.088,7
352e9dfb-7352-41fe-9f5c-791a46c171c7,4.587,1
35546bea-13a1-45f4-9e7e-871427f5e4eb,4.749,4
3556c981-b44c-4e20-8927-7a25d94c70da,3.69,1
358376d4-f156-492c-b4c6-0bd3f5a69f86,5.078,2
35f81e87-382e-41cc-9bab-687116861954,5.84,17
3632e637-0d7a-48fd-9686-f57fea802978,5.141,3
36367f6a-418d-4bb2-8b18-8a0614788543,4.814,1
370e5d82-716e-4a25-8048-170cf7deb74d,5.169,1
3760b164-aabd-4893-b5a1-91a4eef558c1,5.92,1
37a2a373-8d3e-4177-bf1b-e6c9eaa52f5e,4.92,8
384352f7-75e1-4970-a261-35cc5c80b729,5.797,3
38b1bfb1-576b-4a3e-ab6b-e8bc46031c1d,5.95,8
38fdc174-96d6-459f-a27c-df35eb9f945c,5.22,26
396c69af-6b23-47f6-8d68-b39ca26e83e6,4.076,1
399fe2bc-d7f3-4e31-a194-0ac3dcbf0894,3.823,2
39fd8a47-2424-49e4-b9bf-85d357c2521a,2.5,1
3a43c56f-b9d8-4e72-ae8a-58fd69291946,6.533,31
3a48d245-8dea-460b-9eba-0b4fe7abc1dc,5.383,2
3a7e0d88-17bf-4606-bc70-1a4cf90f2b0b,5.05,4
3aaa968d-90ed-4a57-bc29-938a618b6aa9,5.695,3
3af01041-5679-400a-87b8-12c01db8cec4,6.175,57
3b7dc75e-0c73-4576-872a-a32e27106d67,5.265,5
3bb15eba-5e68-4c58-b866-a80945be280d,5.247,3
3c76112e-022e-47a0-8e68-f726118c5eb6,4.24,2
3cab1673-2522-4dd5-ba07-2a1b88749d86,5.86,2
3cd768d1-2fc8-4e80-ac48-6556624ac7b1,4.536,1
3ce4aa7c-c96f-4a78-ab5c-051eb53a5fc3,4.341,6
3d67b6d0-063e-466c-a475-7679d0764354,5.88,22
3d81052b-beb5-43a8-9941-a5595a0be3c8,5.29,5
3d8ed1e0-1a8a-40e1-9838-577403598f57,4.296,2
3d9c8684-953f-4008-b355-b6104ee56a5b,6.115,50
3dced9e3-5450-4b8f-b88c-2e197e20dc15,4.73,6
3e6b668a-8d26-4424-9420-3ceb18486b65,5.546,22
3f35c92f-854a-4e9f-ac63-d51833f4cc94,5.545,3
3f43e258-294a-4fd9-80b5-795882b1e837,5.12,2
3f872035-3abb-434d-9fc7-6134ec6c40f5,6.149,1
3fa6bd42-80b1-4348-aba9-62edf2284982,4.92,3
3fc70f61-f10c-4539-9b5a-82911efc966a,5.46,4
4025f403-d676-42ee-97a1-61d9b38c211b,4.989,33
404094a4-c65d-4e15-8023-f025ac226e30,5.874,8
404f21c9-c9b0-43a3-993b-f2857b38a3aa,4.8,1
4057f30d-d42a-4189-a158-11576fb5f52a,5.726,33
40de390c-e00b-4134-8658-e08abd7b6f2a,4.584,3
41118195-75b3-4b25-adc9-07991301280a,5.984,1
41c769d6-a3de-4db0-b7b7-cec7c5dee51c,5.152,4
42004b18-13f0-4de9-9b58-a6afd17c5069,5.14,3
4214dfa2-6d13-43c3-b98b-f36e4556402d,5.13,12
4237e6e9-1da9-4287-85ba-c33d2259841c,5.32,8
42547327-a336-48f7-a849-3b8a0c189fbd,4.58,1
42aa422c-e795-47d7-b8c6-369e2e74c111,4.992,1
42b8527d-b84e-4f50-8e0b-5937664981e3,5.92,12
42c61e46-e392-4024-a29e-ce3451c90694,4.499,4
435e466e-22c7-4917-8cb4-ff45bbccde19,5.374,16
436bcdfe-1a5a-42ee-94d7-b29c12149f1f,4.722,3
43a35ec2-3d7a-4c6f-b412-cac02d237a46,5.42,4
43df1205-e834-4427-9f1a-4e173bf93296,6.128,4
44599572-39cc-41f6-b9c1-283a4c39649d,5.26,8
45302907-6ce9-46de-b9ce-99cc9327deff,4.55,1
453e8dfb-9820-451b-a606-67cfbac8631a,4.554,2
4545027e-5be5-4cf3-83c2-a410d325fa6f,5.14,1
4553e8f7-d51d-41cd-bc23-752742441bff,5.74,14
45596674-36ae-4768-b4ee-c7181d9b2ea7,5.906,12
45617fd6-17d9-4df7-aba3-cbd00dd76e23,4.91,1
4573f223-7bfb-4c38-a216-8cd8f4060e0c,4.92,3
45e53881-72e4-4de1-9763-c2e7f7f854ba,5.633,5
45e5f39d-97c5-46d3-bd94-9533813b59df,3.91,2
461f063e-a587-4638-bad9-421ff33d91d7,5.144,40
4677e4b8-8540-4d41-898a-417879e8ef31,4.769,5
46964855-27d5-412f-be82-2df7e45a99e5,5.421,6
469988c9-b401-4c68-9e07-e1b1b104b791,6.218,9
469e5fa1-ea76-4286-bdf8-ddd2d18aab5a,5.34,7
46f2280d-18d7-4589-9157-c5e6492099cd,5.033,2
470f08e0-a79c-4aa0-bcc2-c66b3dacbcdb,5.25,5
47690bb2-18cf-4172-889a-1f9cc5bb6d9d,5.612,4
47c3107f-c90a-473a-b1a8-900fcf13e984,4.838,4
47cdc6f5-3e06-4249-adde-f588681bb483,5.7,6
481d9fef-ed7a-4fc9-9d19-a4f9b5a57d56,4.574,18
482a2a18-5d10-4958-98a4-25da4fddc9a7,4.417,5
48359011-0793-437a-bfa2-b7a4c5194689,5.315,5
48c47bfe-7ee6-44da-996f-f69b56c8f912,5.223,2
48ce5c4f-4fdb-472e-ac84-a95204554411,5.71,5
491edcb0-c087-475d-a48b-279d14e27f3a,4.867,2
4921f936-eaa3-49d6-bc61-c412bc2fc5e1,3.75,1
4939ccf3-b9d0-42c6-8254-7c220a8028aa,5.247,5
493d192e-3eff-4058-8f2f-fa84530b5a39,5.58,3
493dbda3-57bd-42ed-b689-f1dbf26ced7a,5.45,2
49584147-f7e8-48c5-a789-8bc479a9251e,4.43,8
496b08fd-f2f8-462c-b552-cbc16e19d12d,4.933,2
4996d437-da0b-426b-b44b-7111a92e8046,4.21,1
49d53a66-df0a-4419-892e-0fe6c788391e,4.742,12
4a1d43d1-bc2a-42ab-b2e4-fd2c2ec339cd,4.72,2
4a8c0d78-7786-4ef9-a32e-f1f2d134c6ab,3.75,1
4aac5b4b-3afd-48db-a11a-d4f48bd685bb,5.336,4
4af4d4d1-9f87-4dc7-95f2-b10751d44c15,6.24,48
4bbe1459-2d18-44bc-bb82-8cb4cb6e20dd,4.71,1
4bf13186-34a0-4af6-a15e-4a00a3466b1e,4.314,1
4c84febc-d921-4f70-92c5-21d1c7127b24,4.526,3
4cbfc815-dc55-4d6d-b844-f28b3aeb40d6,4.5,2
4cff1a90-27f8-46a4-8c43-05fefe778a8a,4.25,1
