idx,player_id,full_name,gender
281,fdbc0750-8ded-4bfe-9657-4b84779dcee6,Tiffany Wang,F
282,df443e1a-4508-4b35-917b-2780cf0ff6c8,Eddy Kim,M
283,bdfd1e77-05f0-4fc1-8da6-15e847990ba1,Tennessee P,M
284,cdf0b94c-89c3-47cb-96cf-ca5d7b0a2e62,Logan Formaniuk,M
285,21ed6c0a-6f07-4e74-afae-9e2218085daf,Levi Daniel,M
286,c263bd93-bd93-4722-bf88-d24529837529,Martin Thomas,M
287,00333c0f-cfae-404f-a137-0dca5a3d67dd,Duncan Mulenga Jr.,M
288,1e216feb-426b-400d-b79e-3db55899141e,Savanna Ticknor,F
289,a552ba50-5178-4107-aec6-ab9c0a0989b3,Aizec Olson,M
290,95c0348f-d93e-44ba-b55e-4971a2d7c1c0,Scott Berke,M
291,c3066b2d-fc90-4774-a571-cde5fc5583d4,Chloe Diskin,F
292,d6efd47e-1b45-47fb-a6e6-124f29020e63,Elizabeth Roy,F
293,0dfe6dd7-dcc9-407b-a761-1cafc880401b,Erik Pailet,M
294,d65ff709-826f-428e-ba7a-5ff4dc3364c7,Lucas Bellamy,M
295,6e8395f2-700f-4058-96a9-fad2b62fd655,Luke Calvert,M
296,dce4187f-efbf-4ef3-aeb6-f9a5f09b7d0b,Will Gardner,M
297,5f10ff12-03e8-4384-90a7-a15682ee7edd,Hayden Rand,M
298,a6a6dbc3-d022-414c-a149-542368879e60,Kyle Borawski,M
299,0ea54033-c140-4b74-9133-b30bed1b6fb7,Beau Martin,M
300,7cbd7e4d-3d2c-40f8-8c09-40c271d64a73,Louie Payetta,M
301,1ea37944-3e4c-45da-ad87-506f5024d389,Aaron Li,M
302,25d59da5-27bb-4584-941c-c2f8bd72577c,Journey Barajas,F
303,ef40c5da-1ba2-403f-929c-38312222b8e0,Chiron Burl,M
304,ca50e21b-a417-446c-aa9f-5251cee264fa,Jordan Theron,M
305,d643346e-6bf8-410f-a7f8-a84e9b07ab53,Michael McCaffrey,M
306,5106c31c-ea6c-49ba-81ca-b622b1d7afd1,Mackonner Dy,M
307,4573f223-7bfb-4c38-a216-8cd8f4060e0c,Tanner Suard,M
308,89647b43-f3f5-49e6-896f-614f0175a3f5,Jackson Ayotte,M
309,b75145d3-4245-4d72-80a3-622487389ba0,Jerry Worsham,M
310,d8661398-7aaa-4db9-ad08-402c16a5cbbf,Ethan Mahony,M
311,6ae70906-53f3-49ed-a7a1-8d967a528300,Chas Howard,M
312,62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M
313,646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F
314,9034d36a-1b11-4c9d-ad75-5c665d87b8c5,Pierina Imparato,F
315,26ef815c-33ef-404d-a3b8-f0a26c240109,Stephen Madonia,M
316,146dd2f7-7f5d-495d-b2f1-96d433742fec,Eduardo Santini Ayon,M
