player_id,full_name,gender,singles_games,singles_value
b1a4ef0e-d5d2-4074-ae82-4cbe8326b1ed,Christian Milan,M,2,-0.637
67a1b0e6-12ee-4071-bd63-5fc855a1d36a,April Marie Williams,F,2,-0.639
0a90c650-b2ed-4733-b6f2-2a578995b5af,Daniel McIntyre Ii,M,2,-0.6394
f613fc75-b580-4c2a-87ae-cfe024504205,Melissa Beré,F,16,-0.6396
75b14d37-7db7-492d-8a47-fe11d5aa2f82,Mayu Ito,F,17,-0.6404
879fd924-f999-4351-8df5-92c438daeb4c,VU Truong,M,2,-0.6415
09d3b780-54b0-4bc9-8b9d-066753cc068f,Gregory Messina,M,2,-0.6423
2e39b6d7-dff3-4a3c-acde-11d7cb23d786,Jaxton Bush,M,2,-0.643
0bd8d59f-4e6a-4918-b32e-0bf19a1fece6,Sean Rafferty,M,4,-0.6445
3afa8b98-ff97-46d6-bed5-096d800e8a7c,Andrew Mateljan,M,5,-0.6445
acb4cc6c-2c82-42ed-ba18-b1b6376f6e84,Ryan Mirrione,M,2,-0.6445
ae7e2026-d6bd-46c5-9557-6ed5ae748ef9,Ryder Boydston,M,5,-0.6448
cacb75ca-852a-4b07-8b61-f660e68fda4b,David Tran,M,2,-0.6456
74bd4042-88bf-4b7d-82fd-3d5f118daf6b,Brandon Burr,M,10,-0.6477
c22f26ba-c999-4743-8fa1-03028ba40514,Francesca Randazzo,F,2,-0.6498
79dbc533-9663-4a69-a7f7-d06ecd785f46,Maddy Stone-Wheatley,F,2,-0.6504
f9f56ac8-1d70-495b-bd29-a81b97385328,Leo Chang,M,2,-0.6525
160916cc-3c82-47cd-8796-04ad5c10018c,Ryan McWilliams,M,4,-0.6538
bddc546a-88d5-4c79-a918-17d9ad3c5394,Nyk Villagomez,M,2,-0.6541
7602cbe7-1ab5-4c0d-805d-afa511abed3d,Toni Alvarado,F,2,-0.6577
3ed4b485-af79-48fe-bfc9-9a86e154fb3a,Finne Jones,F,2,-0.6592
833d1a23-c533-4b29-9e90-852a93438319,Elizabeth Pérez Ford,F,2,-0.6609
0a84556e-30f6-4500-8c95-a9ccbc51c7b1,Leah J,F,4,-0.6649
ac5f6a8f-968e-4d78-8ed2-f09408815747,JJ B,M,21,-0.665
91846d4e-67fb-4891-87a6-bed8362b8e2c,Olivia Phillips,F,6,-0.6676
8ce9bfe5-9d1a-43ed-a878-adc49f71d8fa,Drew Woff,M,2,-0.6677
df065a22-36f6-4075-b242-e1d6ef0a68ad,Sebastian Cui,M,2,-0.6681
07d2038a-4cec-414e-ac3f-0869c6e38390,Adam Charbit,M,6,-0.6682
49650b7d-eff6-46db-9858-0ef52e2c3b10,Troy Olson,M,2,-0.6688
7c6cf7aa-ea2c-4986-9ebb-b31c5771055a,Saki Oyama,F,2,-0.6692
5e5e27c7-e3bf-479b-b339-4276a5fa5516,Jolie Lam,F,2,-0.6693
aad715d6-6a94-4ba0-98e9-80f571be6e72,Alicia Knott,F,2,-0.6694
32a2476a-bcbe-4caf-ba61-8e3896d867ab,Matthew Pattison,M,2,-0.6706
2e5fa9da-613c-4d12-b3c3-5dcba88913c9,Qing Chen,F,2,-0.6757
0e124d50-23a8-4b3f-867e-e8f3c9a13db9,Trinity Parriman,M,2,-0.6766
013ec48b-8d63-4849-840c-948862965f08,Jak Crow,M,4,-0.6766
dee8e3c0-b1a2-4f26-8ac8-49e74a619b7c,Jarrod Owen,M,2,-0.6783
6802fe0e-5fb6-49f0-8249-4339348abae2,Luke Milligan,M,2,-0.6788
3952660c-2449-4105-9637-268efb383d75,Pat Stiles,M,2,-0.6789
2c69c1ed-6ada-48ec-af0d-f2107e952ed5,Samuel Hall,M,2,-0.6789
b8898560-cc68-4c6c-9de5-6516d5f6d451,John McCain,M,2,-0.6813
4370dacd-6b00-43d2-8745-a16e4fc736a4,Michael Browder,M,5,-0.682
d5064407-fee1-41a5-9bee-9db6f9fb82c8,David Galloway,M,2,-0.6823
8427a489-a90d-412a-9871-f4c0e1249da0,Peter Le,M,12,-0.6841
75e9bf62-a73d-4ce6-9269-b739823bcb18,Nick Carr,M,2,-0.6841
52e68e33-e669-4bce-bd3e-862a8fe641f5,Serena C,F,6,-0.6853
ade9841f-1588-409f-aa11-3c7f0c2ac1cb,Indigo Ciochetti,F,2,-0.6854
df85d9df-414b-41cd-96a4-9ceb737eafb2,Timothy Hughes,M,6,-0.6857
ac1495e5-7e1e-4dd0-a25a-191097753c9a,Keegan Allahyarian,M,26,-0.6861
fb4e20d2-7c03-4b45-9d98-435da7a4617a,Daniel Moore,M,2,-0.6884
90ee0493-d16e-44c0-abf6-c0a5afae261f,Ross English,M,4,-0.689
1546152d-75d7-4146-850e-3c6271d53f63,Conor Stone,M,2,-0.691
90504d67-0bda-4182-9159-ae9595c498de,Isaac Buerkle,M,5,-0.6917
76258139-f15c-4707-88bb-3718e17d0c9d,Chris Dickson,M,2,-0.6942
e9911919-ea35-4673-b886-c76f96967240,Melani Dizon,F,2,-0.6946
539d20f9-62a4-41dd-9022-421d8fd84560,Alex Garuba,M,3,-0.698
c3e305ea-34d6-4e4b-85d1-b81de2219288,Danny Spelfogel,M,3,-0.6982
9dcbd32c-52d1-4a3b-a606-70215d3b937f,Alika Vyshkina,F,2,-0.6988
299484fa-15ea-4fd9-aff4-c8d66fc30f7a,Hridhay P,M,7,-0.6991
75badefe-86dc-4568-bfd8-20fcf1bd12da,Aleks Westlund,M,4,-0.6992
eadc6206-549d-47d0-be28-a1e1b41ed3e7,Nayiri Partamian,F,8,-0.7
46a4ca0e-99f4-4b86-bd8c-7f36e380c34e,Carlista Mohammed,F,2,-0.7014
8be6a54c-33da-4431-9be8-12d6aea82cd7,Ludovica Sciaky,F,2,-0.7045
01dc67b2-027f-4b75-8f9e-acb97e09fa02,Neil Wu,M,2,-0.7051
431567a8-9790-48fd-b555-92a53543f3b6,Keenan Duong,M,2,-0.7055
396c69af-6b23-47f6-8d68-b39ca26e83e6,Landon Davis,M,2,-0.7063
63ba551d-501c-4d59-b2b2-612cb2253f27,Ooi Kah Yan,F,6,-0.707
e559dad3-5cf6-4f56-aece-6aae061bd0d7,Gabby Clarke,F,2,-0.7082
76bd1fff-1130-4d40-ae30-fabab5a58875,Audrey Viator,F,2,-0.7097
e5825a13-5549-4326-9411-acb98818a63a,Jeremy Lemenager,M,4,-0.7122
e37ced09-b9b5-47b6-83ac-1f95ade36a3b,Mikhail Johnston,M,3,-0.7134
1a527f96-3054-4482-b446-5c0fa50b2ec3,Alexander Duverger,M,2,-0.7168
51e9dc35-e543-4222-ad12-69697397a975,Beau Covell,M,4,-0.7173
bfb9a85f-b7c0-4250-b4e5-86f91fb63c3a,Ney Lepre,M,3,-0.7177
95227a50-1a3b-4067-b75e-844caaf1fac3,Jackson Kim,M,2,-0.7187
52b3c558-7925-4947-94c9-bcb038fed9da,Daniel Tang,M,2,-0.7189
e32bc591-7691-47a7-84d6-ce2077167296,Joshua Cornett,M,2,-0.7242
3b3ef17a-70e5-42fd-a6d0-6d1c0f8ba3ee,Yohance B,M,4,-0.7251
ff0f6991-1237-4e3a-8e71-489462c7cb2d,Michael Stephens,M,4,-0.7289
c185d749-a1b6-4a36-ad5b-3c8bcf894abd,Susumu Kawashima,M,2,-0.7319
78f4aae9-bf6a-49d0-814b-c2d72e285d98,Emily Butler,F,3,-0.7326
845d332a-748a-4dbe-8c3b-0814e9ba42b0,Gregory Nitayamekin,M,2,-0.7331
50cbdfa9-8c00-4007-8c5e-71c7d560ff6f,Loren Hsiao,M,2,-0.7332
516f95f6-5068-44f2-8f7a-862065e53584,Nebula S,F,2,-0.7337
49a188a5-9cda-4eec-8dc6-430b20da575a,Kristofer C,M,2,-0.7379
d02f0502-9093-475f-a9f6-772cf0e3721f,Mikaela Smith,F,6,-0.7401
a359b7c5-7f5c-4b4e-942b-4ea0c2856428,Caedmon Rux,M,5,-0.7421
a3869691-9091-4a34-b0da-a488c727ccc2,Jun Saito,M,2,-0.7428
b8aec6e9-6a0c-427f-b041-57680465afc7,Jesse T,M,2,-0.7438
8b67a6ee-f6a1-458b-bf68-398cefb1a7a5,Myda Pham,F,2,-0.7441
dd528650-52b3-4ef2-b12b-1457831a82e0,Miro Kocik,M,2,-0.7445
f77de76d-1679-4ad6-be27-0eb118ac20c2,Vamshi Chatla,M,2,-0.7477
993133eb-ba56-46ad-9289-0792be7cbe33,Christ Payne,M,2,-0.7492
2a8b7adb-5f06-4b01-88a7-86e56d8d9274,Hannah Fife,F,7,-0.7533
9845918d-d095-4836-b3ff-e1291f1d02c7,Kathleen Pagel,F,2,-0.7547
91ccec0d-b14e-41bc-8a23-0d9bcacfbe5b,Kevin Pham,M,2,-0.7551
5f797393-35f3-4e71-9048-29c42e40164e,Christopher Kemp,M,3,-0.7555
2fdeb092-5b3d-4788-9eca-29e32cad0bee,Averie Stalnaker,F,4,-0.7576
76ce7a52-9758-48e0-935d-14d9487babea,Sean Wingo,M,3,-0.7599
79fb4028-6b8f-4eea-9309-0fd9fdcd27dc,Jonathon Hart,M,18,-0.7635
06bf1d7a-349c-4252-8ee0-05cb65a4a6a0,Alexis Hayden,F,2,-0.764
9aab6e05-9b40-46b1-b520-c8d34bec1624,Kalen Harbaugh,M,2,-0.7688
835316a0-5d8f-41b0-ad88-83111f97f736,Ayres Burkhalter,M,4,-0.7725
4bf0bbb7-fd59-4276-8f66-a8ef9c247af3,Rabin Shetty,M,2,-0.7744
e70e0caf-c886-4d0d-b6cb-1a116f825041,Mark Seburg,M,2,-0.7804
6ceeb129-a28c-410e-a3da-6afb338a331d,Dylan Unkert,M,2,-0.7812
9125d53e-ce15-4a27-bbaa-20238abd0232,Fabian Grassini,M,4,-0.7824
2ba55b93-98c3-4fbd-a963-95fc8467d00a,Kelly Jensen,F,7,-0.7868
7bee4b61-53bf-41c1-a04f-1be4ade890ad,Sabrina Palavra,F,10,-0.7876
5484221f-688c-4f2d-8ab0-12d262a921ff,Brenton Jolley,M,2,-0.7889
747a01fe-2758-4647-8065-873d654edb91,Alex Patykula,M,2,-0.7891
cf20ca8a-8f58-420c-a7b3-a7c5238dd5e4,Mikey Acquisto,M,2,-0.7916
2de558c9-db25-4a2d-9710-71a06a65ca40,Colleen Burkhart,F,4,-0.7919
eef04fc8-2183-4b06-bdfc-fe7768f54cab,Mariana Negreiros Mariano,F,3,-0.7957
c167dbba-e131-474f-9faa-e21d9ca93a4c,Michael Rosen,M,2,-0.8002
a2ba3041-f155-4ea5-be60-bd89d6676798,Matt Carlton,M,7,-0.8063
8afe9101-4749-49f1-ae97-7992b10597e3,Eliyahu Pinkney,M,2,-0.8074
c138239d-5cbd-44a3-b88a-861447a75309,Marty Merigold,M,3,-0.8094
3d751ec1-2bd2-4b28-82e2-a56df940a251,Jordan Boland,M,7,-0.8097
f9b3749b-c34a-4c99-9cd0-437c26684412,Maya Roderick,F,8,-0.8128
04ab231b-f2ab-456a-a79a-1728f29e42fa,Eliel Herminas,M,2,-0.8163
2dde5c37-c3ba-4c5b-b948-c94dd024dcff,Lawson D,M,2,-0.8181
01896d81-137e-4ebe-b18b-8d1c3beeb375,Isaac Hall,M,2,-0.8195
9c9c45e5-6fb8-4f4f-a85e-16cebb11972d,Andi Godwin,F,6,-0.821
7537a45e-6560-4b42-9e2c-441baf098dc3,Michael Faynkikh,M,2,-0.8211
55e6aab2-a5c1-477b-9d39-aa5750ae8a4c,Cassie Aiello,F,2,-0.8227
d99b1d3a-7d26-4dd1-a866-4be9d14d7789,Casey Smith,M,4,-0.823
c32f02f2-9c35-40a8-9a7d-380371f324da,Brett Huffer,M,2,-0.8277
86fe843f-23d5-40fc-b821-6f95c119b291,Beatriz Rocha Martins de Freitas,F,2,-0.8279
5f563e2d-26ca-4c77-9628-59562cfe8f6f,Kai Dawson,M,2,-0.831
896648e7-fd52-45c0-91d0-620de7a50aa3,John Kircher,M,2,-0.8314
e978066b-18da-4a06-b190-c48fb704f34f,Ashton Bradley,M,2,-0.8355
2beeb16b-c6bb-4c31-8f09-affbbec1e034,Levi Despain,M,2,-0.8421
54e10359-2a8b-4d52-ad41-0212572c723f,Aurelien Godderis,M,2,-0.8433
7cefdc6b-2326-4b65-911e-12c70c800ce3,Araksya Hovsepyan,F,4,-0.8435
37693781-74c4-4096-93bd-efb4d67ddc82,Luke Nevis,M,2,-0.845
093483e9-e82e-4060-b4d7-66954f2f45c5,Ryan Brooks,M,7,-0.8457
756a7a13-a3d8-4d89-8afb-e2071ec6dc82,Lauren Mercado,F,2,-0.846
5243cf73-b5e4-4c6b-ba87-6fbb02b0c5a3,Ryan Murphy,M,2,-0.8463
f67f638c-7a1f-42d5-b7e6-4a4054dad99a,Mafuyu Hakozaki,M,2,-0.8504
84a74550-df1e-4578-ada4-fe071748516d,Jayce Park,M,2,-0.8507
41535708-c12b-44d2-ad5f-ae41e05c8432,Sam Loc,M,2,-0.8509
d04b1bb0-ca03-4051-abd1-81ea557b7c96,Tom Peterson,M,2,-0.8516
bc59e4ce-4884-438a-a5d3-bacd20315d6c,Jonathan Sabo,M,2,-0.8535
db4cdd43-769d-42ea-8a72-81eb9214d1ca,Ethan Le,M,2,-0.8565
920482d7-a540-4d7f-a1aa-6a359bf705a1,Baxter Hamilton,M,2,-0.8606
b5f344de-3f21-4f9b-844a-f34e17c3bb6f,Joshua Brown,M,3,-0.8628
83f50ee7-2b0a-415b-a714-14fcac44ad3d,Jack Robinson,M,2,-0.8638
7ee2e09c-a3d5-4f91-9a93-2755dfa11cda,Peter Arbore,M,2,-0.8779
