match_id,game_number,ra_pre,wa_pre,rb_pre,wb_pre,ra_post,wa_post,rb_post,wb_post
0e8efc35-6b76-45fd-b180-7b4432b95f60,1,9,0,14,6,2,0,8,5
0ecb7624-598a-41bc-b2fc-5aa961f72556,1,11,6,5,2,11,5,6,3
0edfc183-c1a7-433e-aae4-365ff9ec2ddf,3,10,6,4,0,18,6,22,10
0ee7c8e1-4d4a-4453-9434-47be299c5c53,3,8,6,4,2,15,5,17,7
0efed1ef-1f68-4732-9841-1b5bc178d705,3,12,5,14,6,9,6,5,2
0f056e37-1e2c-43a8-ba2e-b666c5c4c358,3,10,6,6,1,10,5,7,3
0f3b7a07-7230-4c5d-be1a-3deb78978d82,1,11,6,6,0,7,5,3,1
0f3df63a-cee1-432a-a8cc-b2d6e179ad83,3,16,6,13,3,10,5,11,5
0f450d8e-04e6-455a-b8e4-dcbda36f0678,3,9,6,5,2,8,5,5,1
0f58c37e-5f9e-4815-883c-e55789633fea,1,16,5,16,6,8,2,12,5
