p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Chance Finley,Christian Nowtash,mens,3,-0.016,0.255,0.494,24.3
Jeffrey Stone Jr.,Bret Berryman,mens,5,0.015,0.257,0.514,78.0
Jonas Valdez,Ross Mathews,mens,4,0.003,0.257,0.506,61.5
Joey Nassos,Russell Martinez,mens,2,-0.022,0.238,0.474,15.6
Chas Howard,Nicholas Wade,mens,4,0.009,0.242,0.511,69.1
Alex Fillat Perez,Stavro Sophocleous,mens,4,-0.007,0.26,0.479,41.4
Ryan Fu,Tanner Tomassi,mens,23,0.003,0.249,0.498,60.3
Zach Gonnering,Christopher Anderson,mens,2,-0.011,0.287,0.496,33.3
Ryan Lucci,Daniel Gonzalez,mens,3,-0.009,0.255,0.481,38.1
Nate Gross,Nick Tomaino,mens,7,-0.013,0.238,0.482,30.7
Trevor Machek,Adrian Garza,mens,5,0.002,0.244,0.509,59.0
Claudio Quinones Garcia,Christopher Haworth,mens,7,-0.04,0.268,0.448,3.6
Thatcher Schwendiman,Clayton Boydston,mens,14,0.018,0.258,0.509,80.7
Austin Oreilly,Adrian Garza,mens,3,-0.004,0.265,0.5,48.6
Rumesh Vaikuntan,Andrew Wang,mens,11,0.003,0.257,0.504,61.5
Daniel Byun,Harrison Yee,mens,12,0.016,0.25,0.537,79.0
Chuck Tang,Jake Kuhlman,mens,2,-0.025,0.261,0.462,11.6
Clayton Powell,Elijah Bertram,mens,6,-0.002,0.238,0.509,51.2
Tavon Morrow,Evgeniy Kim,mens,7,0.055,0.266,0.571,97.3
Flynn Kantzalis Orton,Matthew Mead,mens,6,0.03,0.262,0.559,89.4
Nick Black,Logan Rosenbach,mens,15,0.02,0.26,0.517,82.3
Joel Ticknor,Kale Klein,mens,3,0.006,0.248,0.511,65.1
Matthew Fisher,Erik Josephs,mens,2,-0.033,0.276,0.464,5.8
David Litvinov,Benjamin Grant,mens,4,0.012,0.243,0.524,74.3
Garrett Blair,Paul Maple,mens,3,-0.027,0.264,0.447,9.8
Sam Angelo,Devon Farnsworth,mens,10,0.003,0.253,0.508,60.2
Jack Goldberg,Dave Musgrave,mens,2,-0.02,0.238,0.469,18.2
Andre Millet,Luke Ness,mens,23,-0.028,0.263,0.469,9.3
Matthew Stith,Andre Feliz,mens,19,-0.002,0.244,0.491,52.1
Darren Ho,Matthew Nola,mens,2,-0.001,0.255,0.493,54.0
Walter Lau,Aron Ouye,mens,2,-0.011,0.26,0.486,34.4
Pablo Copetti,Agustin Crochi Torres,mens,4,-0.016,0.273,0.482,24.9
Mary Brascia,Erik Lange,mixed,5,0.013,0.27,0.517,76.1
Rob Cassidy,Camila Garcia Wright,mixed,9,0.049,0.259,0.554,96.1
AJ Koller,Lacy Schneemann,mixed,5,-0.005,0.252,0.489,45.6
Allison Phillips,John Cincola,mixed,6,-0.011,0.261,0.486,34.1
Chao Yi Wang,Chuck Taylor,mixed,19,0.015,0.255,0.528,77.9
Christian Alshon,Catherine Parenteau,mixed,52,0.026,0.248,0.523,87.5
Lina Padegimaite,CJ Klinger,mixed,10,-0.006,0.255,0.486,43.4
Jessica Wilcox,Jackson Ayotte,mixed,7,-0.002,0.267,0.503,51.7
Mari Humberg,Martin Emmrich,mixed,14,-0.032,0.268,0.48,6.5
Zane Navratil,Andrea Koop,mixed,19,0.007,0.256,0.518,67.4
Kaitlyn Christian,Wesley Burrows,mixed,5,0.001,0.238,0.499,57.4
Callan Dawson,Emilia Schmidt,mixed,18,0.046,0.261,0.586,95.5
Christine Trifunovic,Brandon French,mixed,7,0.016,0.259,0.515,78.3
David Litvinov,Alexis Nelson,mixed,2,-0.017,0.255,0.462,22.2
Liz Truluck,Aanik Lohani,mixed,2,-0.024,0.269,0.469,13.0
Casey Diamond,Ava Ignatowich,mixed,2,-0.003,0.256,0.501,50.5
Lea Jansen,Jack Munro,mixed,3,-0.023,0.274,0.474,14.1
Augustus Ge,Tyra Hurricane Black,mixed,19,0.058,0.259,0.581,97.7
Rafa Hewett,Jade Kawamoto,mixed,2,-0.017,0.259,0.479,22.0
Lingwei Kong,Wyatt Stone,mixed,2,-0.006,0.232,0.495,42.7
Christine Maddox,Tyler Loong,mixed,4,-0.08,0.264,0.412,0.3
Patrick Kawka,Salome Devidze,mixed,4,0.038,0.257,0.546,93.4
Carlota Trevino,Benjamin Grant,mixed,2,-0.002,0.262,0.501,52.0
Madeline Schulte,Tavon Morrow,mixed,32,-0.027,0.251,0.471,10.1
Dana Raugust,Daniel Jensen,mixed,11,-0.017,0.248,0.473,23.4
Craig Johnson,Audrey Adele Brown,mixed,5,-0.048,0.26,0.429,2.2
Susannah Barr,Spencer Smith,mixed,3,0.021,0.25,0.524,82.9
Ashlee Candelaria,Ryan Finley,mixed,3,-0.012,0.256,0.489,32.9
Cassidy Hoag,Brooke Revuelta,womens,4,0.023,0.256,0.526,84.8
Nora Tan,Joana Stark,womens,2,-0.022,0.253,0.462,15.8
Jay Devilliers,Ben Newell,mens,6,0.045,0.263,0.569,95.4
Erik Pailet,Jericho Grollman,mens,4,-0.006,0.27,0.495,44.3
Noah Zwiren,Elliot Markowitz,mens,2,-0.005,0.246,0.496,45.3
Johnny Goldberg,Will Howells,mens,4,0.019,0.245,0.51,81.5
Lea Jansen,Susannah Barr,womens,5,0.003,0.265,0.484,61.0
Nicola Slater,Monica Piekarski,womens,4,0.007,0.26,0.502,66.5
Roscoe Bellamy,Wesley Burrows,mens,5,0.0,0.259,0.503,55.9
Tamaryn Emmrich,Mari Humberg,womens,9,-0.031,0.254,0.478,7.1
Marshall Brown,Anderson Scarpa,mens,4,0.012,0.263,0.499,73.9
Blaine Hovenier,Ryan Eveloff,mens,12,-0.012,0.252,0.474,31.1
Averee Beck,Cloe Murillo,womens,5,-0.007,0.262,0.507,41.2
Reyna Ash,Dana Raugust,womens,2,-0.003,0.242,0.486,49.3
Jaume Martinez Vich,CJ Klinger,mens,29,0.0,0.264,0.494,56.6
Ernie Garcia,Cooper Fratt,mens,5,0.013,0.266,0.512,75.2
Eric Gilbert,Ryan Gilbert,mens,7,-0.031,0.247,0.469,6.6
Dominique Canale,Sienna Susko,womens,2,-0.021,0.258,0.459,17.0
Mario Barrientos,Jose Farias,mens,5,0.01,0.268,0.506,71.3
Chloe Igleski,Ella Boydston,womens,6,-0.035,0.267,0.464,5.0
Louie Payetta,Rob Hutchins,mens,2,-0.012,0.254,0.485,32.8
Rachael James,Jessica Wilcox,womens,10,0.004,0.255,0.494,62.0
Daria Walczak,Marcela Aguila Ampon,womens,5,0.028,0.272,0.531,88.6
Danielle Taufa,Samantha Parker,womens,3,-0.003,0.261,0.499,49.4
Alexis Saucerman,Jessica Mason,womens,2,-0.003,0.253,0.489,49.9
Jonny Pickleball Andrews,Keith Read,mens,16,0.094,0.269,0.616,99.4
Caden Nemoff,Rob Cassidy,mens,10,-0.01,0.264,0.486,36.2
Andrea Koop,Tina Pisnik,womens,16,-0.029,0.268,0.458,8.1
Nicole Eugenio,Malia K Lum,womens,5,-0.007,0.239,0.486,41.9
Zane Navratil,Erik Lange,mens,13,0.07,0.266,0.575,98.7
Ashlee Candelaria,Audrey Adele Brown,womens,4,0.0,0.267,0.489,56.2
Courtney McIntosh,Camila Garcia Wright,womens,7,0.015,0.25,0.506,77.3
Pesa Teoni,Etienne Blaszkewycz,mens,14,0.023,0.254,0.524,84.5
Allison Phillips,Paige Miles,womens,17,0.011,0.243,0.513,73.4
Eric Roddy,Aanik Lohani,mens,9,0.027,0.248,0.534,88.0
Lingwei Kong,Ava Ignatowich,womens,11,-0.003,0.259,0.494,50.0
Brandon French,Donald Young,mens,5,-0.028,0.246,0.444,9.5
Adrian Legarreta,Rio Newcombe,mens,2,-0.013,0.255,0.472,29.1
Ross Whittaker,Casey Diamond,mens,8,-0.073,0.265,0.406,0.5
Dorothy Zerbst,Madeline Saunders,womens,2,-0.01,0.244,0.489,35.0
Jackson Ayotte,Daniel Jensen,mens,10,0.041,0.256,0.546,94.3
Gabriel Joseph,Will Jamieson,mens,2,-0.02,0.251,0.471,18.9
John Cincola,Wyatt Stone,mens,11,0.025,0.255,0.538,86.2
Mary Monson,Deserea Dunn,womens,2,0.007,0.244,0.506,67.2
Kenadi Hance,Emilia Schmidt,womens,4,0.001,0.273,0.494,57.0
Sarah Pham,Sarah Hua,womens,8,-0.016,0.271,0.496,24.4
Carlota Trevino,Lucah Folden,womens,2,-0.014,0.263,0.479,27.4
David Hall,Bryce Larson,mens,12,0.007,0.237,0.515,66.6
Samantha Goldenhersh,Cori Elliott,womens,2,-0.015,0.254,0.478,25.7
Lauren Wong,Brenna Murray,womens,3,-0.011,0.252,0.48,34.0
Allison Chuang,Alexis Nelson,womens,11,0.055,0.259,0.574,97.1
Ernesto Russo,Sarah Ansboury,mixed,2,-0.017,0.249,0.481,23.3
Daria Walczak,Craig Johnson,mixed,10,0.029,0.276,0.525,89.3
Joshua Reason,Zak Parks,mens,18,0.048,0.251,0.564,96.0
John Macauley,Kallan Arledge,mens,2,-0.006,0.245,0.489,43.2
Cami Blake,Robert Baylon,mixed,4,0.017,0.281,0.525,80.1
Jalen Fuhriman,Justin Fullmer,mens,3,-0.006,0.257,0.476,44.0
Garrett Blair,Dalton Robinson,mens,5,-0.004,0.257,0.509,47.4
Michael Parra,Chris Chakkaw,mens,2,-0.01,0.283,0.487,37.0
Madeline Schulte,Drake Palm,mixed,5,-0.014,0.264,0.486,27.3
Chloe Igleski,Thatcher Schwendiman,mixed,3,0.011,0.26,0.501,72.5
Dalia Garza,Pesa Teoni,mixed,4,0.021,0.261,0.524,83.1
Sabrina Guillebeaux,Quan Do,mixed,2,-0.032,0.25,0.466,6.1
Megan Fudge,Martin Emmrich,mixed,11,0.081,0.25,0.604,99.0
Paige Miles,Keith Read,mixed,4,0.027,0.234,0.529,87.6
Tatiana Ruhl,Claudio Quinones Garcia,mixed,9,0.007,0.27,0.521,67.5
Benjamin Bramblett,Domenika Turkovic,mixed,6,0.005,0.248,0.512,63.7
Rachael James,Erik Forsythe,mixed,19,0.035,0.261,0.546,92.4
Cassidy Hoag,Darrian Young,mixed,3,-0.006,0.244,0.507,44.6
Quan Do,Ryan Gilbert,mens,6,0.032,0.262,0.556,90.9
Nick Black,Jordan Bridge,mens,5,-0.029,0.256,0.446,8.7
Zaen Affleck,Gregorie Vinueza-Daly,mens,5,0.001,0.254,0.496,56.8
Alex Fillat Perez,Adrian Legarreta,mens,8,0.015,0.263,0.519,77.5
Koa Pagaoa,Bryan Castanon,mens,2,-0.006,0.253,0.501,43.9
Santhosh Narayanan,Noah Zwiren,mens,14,0.007,0.25,0.508,67.6
Kace Heiner,Tyler Holbrook,mens,2,-0.001,0.255,0.509,54.0
Jessica Mason,Lucah Folden,womens,2,-0.0,0.278,0.484,55.3
Bobbi Oshiro,Milan Rane,womens,30,0.012,0.262,0.514,73.6
Elizabeth Skufca,Victoria Yu,womens,2,-0.011,0.248,0.491,34.5
Max Green,Robert Baylon,mens,4,0.006,0.255,0.505,65.8
