uuid,name,gender,n_high,n_low,regular,big,lift,lift_rank,skill_adj,skill_adj_rank,lift_halfA,lift_halfB
6f149538-c6f6-4ad5-9e60-2afc100f97c1,Spartak Rahachou,M,785,1641,-0.2127,-0.6887,-0.4759,777,-0.0789,492,-0.3198,-0.3503
b046a7b0-2e97-403a-b28a-210cca13d0cc,Omar Garcia-Heredia,M,179,326,0.3712,-0.1073,-0.4785,778,-0.604,794,-0.5092,-0.1307
15156d9c-65c8-4a3c-a392-c3082975cfc4,James Broker,M,488,1005,0.2005,-0.2789,-0.4794,779,-0.3356,755,-0.2875,-0.3466
5c5c1775-a31b-4f49-b822-42afe860fd24,Stephen Bass,M,394,781,0.0503,-0.4339,-0.4842,780,-0.3548,758,-0.0113,-0.4855
12e4929d-3cf3-47ef-9b8f-4c9477a8e762,Sydney Donkena,F,323,610,-0.0286,-0.5151,-0.4864,781,-0.216,667,-0.2997,-0.1679
7ab0b456-a129-4879-86a6-05d34bd8781e,Domenika Turkovic,F,446,815,0.1066,-0.38,-0.4866,782,-0.5521,791,-0.3654,-0.1963
684de940-3788-41f6-9d4b-b843da242dae,Wesley Hanson,M,334,682,0.2593,-0.2441,-0.5034,783,-0.3584,761,-0.2507,-0.361
9db29a7a-1fce-4394-a1f0-a5fbd2bc2e7b,Jake Anderson,M,1258,2680,0.0934,-0.4352,-0.5286,784,-0.4782,783,-0.0149,-0.6451
4e39b9bd-436d-495d-99d7-c2818bbea4ab,Camila Zilveti,F,1271,2869,-0.1633,-0.7167,-0.5535,785,-0.3102,740,-0.377,-0.4834
44599572-39cc-41f6-b9c1-283a4c39649d,Nicole Kalhorn,F,158,325,0.2016,-0.3748,-0.5764,786,-0.5811,793,-0.4949,-0.3074
26b13d9f-ccab-497c-8e3a-68299be5ea70,Daniel Phillips,M,466,1011,0.1023,-0.4966,-0.5989,787,-0.489,785,-0.446,-0.3618
316a0784-5829-4fad-89a1-438e5aac2504,Jazz Hearn IV,F,329,699,0.1558,-0.4576,-0.6135,788,-0.3187,748,-0.588,-0.085
80217cca-df99-4019-a90f-385622ca057a,Zach Gonnering,M,2211,4376,-0.0641,-0.6787,-0.6146,789,-0.3765,764,-0.6795,-0.2344
2feffeaa-aca5-4c5d-aad6-62eb0d38a6be,Abigail Okelley,F,681,1392,-0.107,-0.7406,-0.6336,790,-0.2708,707,-0.1853,-0.5654
4da698bf-605d-4c6c-8566-6bfbdb6c1a24,Genie Bouchard,F,1981,4109,0.0253,-0.6087,-0.634,791,-0.518,788,-0.5341,-0.6255
22989ac3-e778-487a-ba32-a30243acd294,Christine Trifunovic,F,862,1880,-0.2451,-0.926,-0.6809,792,-0.2477,686,-0.6775,-0.1149
1e5d81dc-961d-455a-b80f-d6c30c518cde,Caden Nemoff,M,1704,3428,-0.0148,-0.7086,-0.6939,793,-0.4999,787,-0.6338,-0.5293
53b056f9-095a-40fa-881d-142629905f8a,Luana Stanciu,F,1090,2396,0.003,-0.7181,-0.7211,794,-0.5416,790,-0.6289,-0.4885
ec94501d-8b59-4236-b77d-7238f8925e48,Marcela Aguila Ampon,F,2122,4391,0.0669,-0.6631,-0.7299,795,-0.6387,795,-0.8853,-0.4253
