p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Isabella Dunlap,Bella Nelson,womens,10,0.07,0.386,0.563,90.9
Angela Morisette,Melissa Beré,womens,2,-0.028,0.395,0.464,29.5
Lizzie McFarland,Alexa Brent,womens,4,-0.015,0.369,0.478,43.3
Journey Barajas,Meggan William,womens,2,-0.021,0.382,0.486,37.3
Duncan Mulenga Jr.,Russell K,mens,2,-0.04,0.374,0.468,20.4
Nicolas Almeida,Chris Turvey,mens,2,-0.012,0.372,0.486,45.5
Mayu Omori,Averee Beck,womens,5,0.003,0.368,0.496,59.4
Alexander Qi,Garrett Whitehead,mens,7,0.05,0.399,0.533,84.8
Lindsey Newman,Chloe Diskin,womens,8,-0.091,0.387,0.412,2.4
Christine Trifunovic,Anna Lenhart,womens,4,0.015,0.374,0.506,68.3
Jason Weidman,Wesley Burrows,mens,4,-0.025,0.354,0.484,32.6
Bruno Barrueto Deza,Eric Diaz,mens,2,-0.032,0.338,0.462,26.4
Chase Nuttall,Brian Buzianis,mens,2,0.002,0.339,0.506,58.1
Cameron Luhring,Rio Newcombe,mens,10,-0.051,0.396,0.458,13.4
Tyler Loong,Braden Jacobson,mens,12,0.112,0.387,0.595,96.4
Dillon Hageman,Raymond Velarde,mens,5,-0.021,0.406,0.486,37.1
Kelly Jensen,Mya Barron,womens,2,-0.051,0.383,0.466,13.0
Aliese Pedro,Sarah Beeston,womens,4,0.034,0.365,0.532,78.1
Benson Parry,Austin Ciampini,mens,4,-0.016,0.385,0.484,42.5
Bryan Lundberg,Kace Heiner,mens,2,-0.028,0.38,0.469,29.4
Ryder Boydston,Hudson G,mens,2,-0.021,0.352,0.489,36.9
Monika Wynne,Ella Boydston,womens,9,0.042,0.379,0.547,82.0
Crystal Sorem,Jamie Voelker,womens,2,-0.042,0.353,0.471,19.1
V. Mary Rivas,Nina Rhoades,womens,2,0.005,0.385,0.503,60.4
Ella Cosma,Allie Davis,womens,5,-0.035,0.375,0.485,23.3
