p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Gabriel Joseph,Camila Zilveti,mixed,8,0.063,0.394,0.567,84.6
Genie Erokhina,Sarah Ansboury,womens,2,-0.026,0.363,0.473,37.8
Jade Kawamoto,Federico Staksrud,mixed,14,0.058,0.397,0.562,82.9
Sam Querrey,Kaitlyn Christian,mixed,6,0.07,0.404,0.559,86.7
Spencer Smith,Olivia McMillan,mixed,7,0.119,0.403,0.604,94.7
Tamaryn Emmrich,Olivia McMillan,womens,2,-0.027,0.388,0.484,37.1
Zane Navratil,Allison Phillips,mixed,3,0.005,0.386,0.501,58.0
Carolina Mayorga-Perry,Dana Raugust,womens,2,-0.088,0.404,0.411,6.3
Daria Walczak,Christa Gecheva,womens,11,0.021,0.392,0.524,67.9
Gabriel Joseph,Jericho Grollman,mens,3,0.015,0.411,0.514,64.4
Phillip Locklear,Steve Deakin,mens,4,0.03,0.398,0.529,72.5
Claudio Quinones Garcia,Juan Benitez,mens,6,0.052,0.392,0.558,80.8
Bobbi Oshiro,Milan Rane,womens,23,0.016,0.361,0.524,64.8
Marshall Brown,Donald Young,mens,2,-0.02,0.382,0.479,41.1
Darrian Young,Connor Garnett,mens,12,0.069,0.362,0.574,86.5
Quang Duong,Tyler Loong,mens,2,-0.054,0.382,0.445,18.7
Jessie Irvine,Tina Pisnik,womens,40,0.045,0.364,0.542,78.1
Parris Todd,Tyra Hurricane Black,womens,55,0.166,0.361,0.679,98.1
Julian Arnold,Jack Munro,mens,26,0.024,0.376,0.509,69.2
Spencer Smith,Wyatt Stone,mens,2,-0.013,0.376,0.48,46.5
Christian Alshon,Jessie Irvine,mixed,13,0.052,0.379,0.564,81.0
Zane Navratil,Christian Alshon,mens,16,0.01,0.396,0.516,60.9
Irina Tereschenko,Lacy Schneemann,womens,2,0.025,0.421,0.522,69.4
Mari Humberg,Jorja Johnson,womens,66,-0.002,0.358,0.488,53.6
AJ Koller,Travis Rettenmaier,mens,4,-0.035,0.378,0.464,32.3
Vivienne David,Anna Bright,womens,8,0.005,0.368,0.502,58.1
Rafa Hewett,Todd Fought,mens,2,-0.04,0.384,0.451,28.0
Lea Jansen,Lauren Stratman,womens,2,-0.078,0.409,0.431,9.6
Ivan Jakovljevic,Ava Ignatowich,mixed,4,-0.019,0.399,0.477,42.4
Collin Johns,Anna Bright,mixed,7,0.035,0.385,0.537,74.2
Daniel Jensen,Helen To,mixed,6,-0.035,0.402,0.476,31.9
Rafa Hewett,Parris Todd,mixed,4,0.026,0.379,0.531,70.2
Jamie Haas,Pesa Teoni,mixed,3,-0.054,0.405,0.456,18.6
Cason Campbell,Madalina Grigoriu,mixed,5,0.007,0.407,0.497,59.6
Allison Phillips,Darrian Young,mixed,13,0.093,0.368,0.601,91.9
Christian Alshon,Tyra Hurricane Black,mixed,5,-0.028,0.389,0.474,36.7
Brooke Buckner,Collin Shick,mixed,75,0.057,0.359,0.549,82.4
Lea Jansen,Hayden Patriquin,mixed,84,-0.143,0.358,0.336,1.3
Quang Duong,Liz Truluck,mixed,11,0.038,0.371,0.541,75.7
Maddy Rasmusen,Bryce Larson,mixed,2,-0.0,0.417,0.488,54.7
Martina Frantova,Marshall Brown,mixed,4,-0.009,0.374,0.499,48.9
Lingwei Kong,Jonny Pickleball Andrews,mixed,2,-0.019,0.403,0.484,42.0
Tyler Loong,Lina Padegimaite,mixed,10,0.038,0.355,0.543,75.5
Carolina Mayorga-Perry,Pablo Tellez,mixed,5,0.064,0.416,0.562,85.0
Craig Johnson,Samantha Parker,mixed,4,0.052,0.399,0.556,81.1
Mohaned Alhouni,Salome Devidze,mixed,6,0.074,0.4,0.562,88.1
Eric Roddy,Pierina Imparato,mixed,14,0.011,0.392,0.509,61.5
Alex Neumann,Rachel Summers,mixed,4,-0.041,0.397,0.474,27.4
Sam Querrey,Angie Walker,mixed,15,0.093,0.419,0.584,91.8
Cassidy Hoag,Phillip Locklear,mixed,8,0.095,0.385,0.591,92.3
Ella Boydston,Clayton Boydston,mixed,18,-0.002,0.401,0.48,53.4
Camila Zilveti,Brian Kerr,mixed,9,-0.113,0.4,0.396,3.1
Ivy Tschetter,Luke Wasson,mixed,4,0.018,0.392,0.516,66.1
Kaitlyn Christian,Brandon French,mixed,2,-0.076,0.416,0.43,10.1
Chao Yi Wang,Patrick Smith,mixed,16,-0.083,0.371,0.416,7.6
Collin Johns,Matt Wright,mens,8,-0.043,0.378,0.479,26.1
Thomas Wilson,Christian Alshon,mens,20,-0.093,0.367,0.404,5.4
Tyler Loong,Connor Garnett,mens,70,0.192,0.402,0.677,98.8
Julian Arnold,Jack Sock,mens,4,0.019,0.394,0.534,66.6
Lingwei Kong,Jamie Haas,womens,7,-0.001,0.375,0.503,54.4
Ella Boydston,Maddy Rasmusen,womens,8,0.012,0.404,0.515,62.1
Kaitlyn Christian,Rachel Summers,womens,2,-0.018,0.376,0.479,42.6
Zane Navratil,Travis Rettenmaier,mens,38,0.089,0.358,0.589,91.1
Chuck Taylor,Spencer Smith,mens,18,0.094,0.372,0.602,92.0
Brooke Buckner,Chao Yi Wang,womens,60,0.318,0.427,0.769,99.6
Edward Perez,James Delgado,mens,6,-0.042,0.421,0.456,26.5
Jordan Bridge,Andrew Anh Pham,mens,5,-0.049,0.414,0.468,21.9
Dekel Bar,Darrian Young,mens,5,-0.058,0.396,0.436,16.9
Lea Jansen,Lina Padegimaite,womens,4,-0.115,0.397,0.391,2.8
Camila Zilveti,Ava Ignatowich,womens,13,-0.014,0.399,0.481,45.9
Eric Roddy,Collin Shick,mens,2,-0.053,0.382,0.436,19.4
Mohaned Alhouni,Mota Alhouni,mens,24,-0.086,0.386,0.414,6.9
