player,game,rally,player_uuid,n_frames,peak_share,peak_inc_ft,terr_mean,terr_end
Tyra Hurricane Black,"('c4eb30d0', '1')",42,fec65f7e-f2c8-482f-ab5b-541cf53b1064,72,0.422,0.0,0.4057,0.359
Anna Bright,"('c4eb30d0', '1')",42,db5eef5c-99dd-49d9-bbfc-65171a366bda,68,0.91,2.8,0.5251,0.6124
Hayden Patriquin,"('c4eb30d0', '1')",42,fc05556e-3e38-4a38-99c2-f855174a7c28,68,0.6046,0.0,0.4749,0.3876
Christian Alshon,"('c4eb30d0', '1')",48,79a11da1-6aeb-4719-9b1e-9918e0163cec,180,0.6365,0.0,0.7229,0.5043
Tyra Hurricane Black,"('c4eb30d0', '1')",48,fec65f7e-f2c8-482f-ab5b-541cf53b1064,180,0.7244,0.11,0.2771,0.4957
Anna Bright,"('c4eb30d0', '1')",48,db5eef5c-99dd-49d9-bbfc-65171a366bda,82,0.5603,0.0,0.4469,0.4649
Hayden Patriquin,"('c4eb30d0', '1')",48,fc05556e-3e38-4a38-99c2-f855174a7c28,82,0.5844,0.0,0.5531,0.5351
Tyra Hurricane Black,"('c4eb30d0', '2')",50,fec65f7e-f2c8-482f-ab5b-541cf53b1064,121,0.5168,0.0,0.4676,0.45
Christian Alshon,"('c4eb30d0', '2')",50,79a11da1-6aeb-4719-9b1e-9918e0163cec,121,0.7601,2.66,0.5324,0.55
Anna Bright,"('c4eb30d0', '2')",50,db5eef5c-99dd-49d9-bbfc-65171a366bda,126,0.7143,2.09,0.5025,0.5533
Hayden Patriquin,"('c4eb30d0', '2')",50,fc05556e-3e38-4a38-99c2-f855174a7c28,126,0.7274,2.97,0.4975,0.4467
Tyra Hurricane Black,"('c4eb30d0', '2')",51,fec65f7e-f2c8-482f-ab5b-541cf53b1064,9,0.5425,0.0,0.3928,0.31
Christian Alshon,"('c4eb30d0', '2')",51,79a11da1-6aeb-4719-9b1e-9918e0163cec,9,0.6044,0.0,0.6072,0.69
Hayden Patriquin,"('c4eb30d0', '2')",51,fc05556e-3e38-4a38-99c2-f855174a7c28,10,0.6111,0.0,0.9044,0.8201
Anna Bright,"('c4eb30d0', '2')",51,db5eef5c-99dd-49d9-bbfc-65171a366bda,10,0.4311,0.0,0.0956,0.1799
Tyra Hurricane Black,"('c4eb30d0', '2')",52,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3,0.3063,0.0,0.0,0.0
Christian Alshon,"('c4eb30d0', '2')",52,79a11da1-6aeb-4719-9b1e-9918e0163cec,3,0.7287,0.0,1.0,1.0
Anna Bright,"('c4eb30d0', '2')",52,db5eef5c-99dd-49d9-bbfc-65171a366bda,36,0.4173,0.0,0.2901,0.1856
Hayden Patriquin,"('c4eb30d0', '2')",52,fc05556e-3e38-4a38-99c2-f855174a7c28,36,0.9165,2.77,0.7099,0.8144
Tyra Hurricane Black,"('c4eb30d0', '2')",53,fec65f7e-f2c8-482f-ab5b-541cf53b1064,38,0.5124,0.0,0.5557,0.5595
Christian Alshon,"('c4eb30d0', '2')",53,79a11da1-6aeb-4719-9b1e-9918e0163cec,38,0.6073,0.0,0.4443,0.4405
Anna Bright,"('c4eb30d0', '2')",53,db5eef5c-99dd-49d9-bbfc-65171a366bda,38,0.509,0.0,0.4362,0.4137
Hayden Patriquin,"('c4eb30d0', '2')",53,fc05556e-3e38-4a38-99c2-f855174a7c28,38,0.6151,0.0,0.5638,0.5863
Tyra Hurricane Black,"('c4eb30d0', '2')",54,fec65f7e-f2c8-482f-ab5b-541cf53b1064,64,0.5667,0.0,0.6042,0.5369
Christian Alshon,"('c4eb30d0', '2')",54,79a11da1-6aeb-4719-9b1e-9918e0163cec,64,0.5897,0.0,0.3958,0.4631
Anna Bright,"('c4eb30d0', '2')",54,db5eef5c-99dd-49d9-bbfc-65171a366bda,65,0.4503,0.0,0.5734,0.4247
Hayden Patriquin,"('c4eb30d0', '2')",54,fc05556e-3e38-4a38-99c2-f855174a7c28,65,0.745,0.07,0.4266,0.5753
Tyra Hurricane Black,"('c4eb30d0', '2')",55,fec65f7e-f2c8-482f-ab5b-541cf53b1064,37,0.5628,0.0,0.4583,0.4029
Christian Alshon,"('c4eb30d0', '2')",55,79a11da1-6aeb-4719-9b1e-9918e0163cec,37,0.5193,0.0,0.5417,0.5971
Anna Bright,"('c4eb30d0', '2')",55,db5eef5c-99dd-49d9-bbfc-65171a366bda,36,0.427,0.0,0.5211,0.4754
Hayden Patriquin,"('c4eb30d0', '2')",55,fc05556e-3e38-4a38-99c2-f855174a7c28,36,0.6279,0.0,0.4789,0.5246
Tyra Hurricane Black,"('c4eb30d0', '2')",58,fec65f7e-f2c8-482f-ab5b-541cf53b1064,44,0.7871,0.71,0.0448,0.3147
Christian Alshon,"('c4eb30d0', '2')",58,79a11da1-6aeb-4719-9b1e-9918e0163cec,44,0.5502,0.0,0.9552,0.6853
Hayden Patriquin,"('c4eb30d0', '2')",58,fc05556e-3e38-4a38-99c2-f855174a7c28,44,0.8341,6.45,0.6756,0.5483
Anna Bright,"('c4eb30d0', '2')",58,db5eef5c-99dd-49d9-bbfc-65171a366bda,44,0.9059,6.59,0.3244,0.4517
Tyra Hurricane Black,"('c4eb30d0', '2')",59,fec65f7e-f2c8-482f-ab5b-541cf53b1064,81,0.5525,0.0,0.5646,0.4326
Christian Alshon,"('c4eb30d0', '2')",59,79a11da1-6aeb-4719-9b1e-9918e0163cec,81,0.7968,1.97,0.4354,0.5674
Hayden Patriquin,"('c4eb30d0', '2')",59,fc05556e-3e38-4a38-99c2-f855174a7c28,85,0.7164,2.72,0.5488,0.4786
Anna Bright,"('c4eb30d0', '2')",59,db5eef5c-99dd-49d9-bbfc-65171a366bda,85,0.6463,0.0,0.4512,0.5214
Christian Alshon,"('c4eb30d0', '2')",60,79a11da1-6aeb-4719-9b1e-9918e0163cec,82,0.7949,3.03,0.755,0.7909
Tyra Hurricane Black,"('c4eb30d0', '2')",60,fec65f7e-f2c8-482f-ab5b-541cf53b1064,82,0.4969,0.0,0.245,0.2091
Hayden Patriquin,"('c4eb30d0', '2')",60,fc05556e-3e38-4a38-99c2-f855174a7c28,82,0.8094,4.42,0.4333,0.5899
Anna Bright,"('c4eb30d0', '2')",60,db5eef5c-99dd-49d9-bbfc-65171a366bda,82,0.6361,2.57,0.5667,0.4101
Christian Alshon,"('c4eb30d0', '2')",61,79a11da1-6aeb-4719-9b1e-9918e0163cec,63,0.998,6.02,0.6469,0.6409
Tyra Hurricane Black,"('c4eb30d0', '2')",61,fec65f7e-f2c8-482f-ab5b-541cf53b1064,63,0.4673,0.0,0.3531,0.3591
Hayden Patriquin,"('c4eb30d0', '2')",61,fc05556e-3e38-4a38-99c2-f855174a7c28,57,0.8607,3.67,0.6244,0.7972
Anna Bright,"('c4eb30d0', '2')",61,db5eef5c-99dd-49d9-bbfc-65171a366bda,57,0.5053,0.0,0.3756,0.2028
Christian Alshon,"('c4eb30d0', '2')",62,79a11da1-6aeb-4719-9b1e-9918e0163cec,42,0.5975,0.57,0.4447,0.495
Tyra Hurricane Black,"('c4eb30d0', '2')",62,fec65f7e-f2c8-482f-ab5b-541cf53b1064,42,0.6533,1.75,0.5553,0.505
Hayden Patriquin,"('c4eb30d0', '2')",62,fc05556e-3e38-4a38-99c2-f855174a7c28,54,0.7388,4.7,0.5291,0.7176
Anna Bright,"('c4eb30d0', '2')",62,db5eef5c-99dd-49d9-bbfc-65171a366bda,54,0.7434,4.76,0.4709,0.2824
Christian Alshon,"('c4eb30d0', '2')",63,79a11da1-6aeb-4719-9b1e-9918e0163cec,67,0.7563,0.33,0.4893,0.5186
Tyra Hurricane Black,"('c4eb30d0', '2')",63,fec65f7e-f2c8-482f-ab5b-541cf53b1064,67,0.6295,0.0,0.5107,0.4814
Anna Bright,"('c4eb30d0', '2')",63,db5eef5c-99dd-49d9-bbfc-65171a366bda,79,0.4401,0.0,0.4699,0.378
Hayden Patriquin,"('c4eb30d0', '2')",63,fc05556e-3e38-4a38-99c2-f855174a7c28,79,0.6955,0.45,0.5301,0.622
Christian Alshon,"('c4eb30d0', '2')",64,79a11da1-6aeb-4719-9b1e-9918e0163cec,31,0.6539,1.0,0.5342,0.5733
Tyra Hurricane Black,"('c4eb30d0', '2')",64,fec65f7e-f2c8-482f-ab5b-541cf53b1064,31,0.479,0.0,0.4658,0.4267
Anna Bright,"('c4eb30d0', '2')",64,db5eef5c-99dd-49d9-bbfc-65171a366bda,117,0.6734,0.0,0.651,0.4661
Hayden Patriquin,"('c4eb30d0', '2')",64,fc05556e-3e38-4a38-99c2-f855174a7c28,117,0.642,0.0,0.349,0.5339
Christian Alshon,"('c4eb30d0', '2')",65,79a11da1-6aeb-4719-9b1e-9918e0163cec,48,0.631,0.0,0.2718,0.2656
Tyra Hurricane Black,"('c4eb30d0', '2')",65,fec65f7e-f2c8-482f-ab5b-541cf53b1064,48,0.8984,2.05,0.7282,0.7344
Anna Bright,"('c4eb30d0', '2')",65,db5eef5c-99dd-49d9-bbfc-65171a366bda,50,0.48,0.0,0.6407,0.4694
Hayden Patriquin,"('c4eb30d0', '2')",65,fc05556e-3e38-4a38-99c2-f855174a7c28,50,0.7927,0.0,0.3593,0.5306
Christian Alshon,"('c4eb30d0', '2')",66,79a11da1-6aeb-4719-9b1e-9918e0163cec,87,0.589,0.0,0.3628,0.5756
Tyra Hurricane Black,"('c4eb30d0', '2')",66,fec65f7e-f2c8-482f-ab5b-541cf53b1064,87,0.8487,4.24,0.6372,0.4244
Anna Bright,"('c4eb30d0', '2')",66,db5eef5c-99dd-49d9-bbfc-65171a366bda,66,0.6375,0.0,0.4223,0.5317
Hayden Patriquin,"('c4eb30d0', '2')",66,fc05556e-3e38-4a38-99c2-f855174a7c28,66,0.6091,0.0,0.5777,0.4683
Tyra Hurricane Black,"('c4eb30d0', '2')",67,fec65f7e-f2c8-482f-ab5b-541cf53b1064,20,0.5542,0.0,0.6058,0.4978
Christian Alshon,"('c4eb30d0', '2')",67,79a11da1-6aeb-4719-9b1e-9918e0163cec,20,0.6177,0.0,0.3942,0.5022
Anna Bright,"('c4eb30d0', '2')",67,db5eef5c-99dd-49d9-bbfc-65171a366bda,20,0.3727,0.0,0.6102,0.5886
Hayden Patriquin,"('c4eb30d0', '2')",67,fc05556e-3e38-4a38-99c2-f855174a7c28,20,0.795,0.94,0.3898,0.4114
Tyra Hurricane Black,"('c4eb30d0', '2')",69,fec65f7e-f2c8-482f-ab5b-541cf53b1064,5,0.5865,0.0,1.0,1.0
Christian Alshon,"('c4eb30d0', '2')",69,79a11da1-6aeb-4719-9b1e-9918e0163cec,5,0.4142,0.0,0.0,0.0
Hayden Patriquin,"('c4eb30d0', '2')",69,fc05556e-3e38-4a38-99c2-f855174a7c28,10,0.2666,0.0,0.0918,0.092
