event_id,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,precipitation_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,cloudcover_mean,relative_humidity_2m_mean
6e284f6f-ef45-43cf-a09a-eff88f9ce391,2025-02-07,76.2,49.5,70.8,0.0,5.8,15.4,21,11,21
6e284f6f-ef45-43cf-a09a-eff88f9ce391,2025-02-08,76.9,50.2,72.3,0.0,6.1,16.6,11,34,23
6e284f6f-ef45-43cf-a09a-eff88f9ce391,2025-02-09,77.7,51.6,73.0,0.0,6.4,15.7,45,70,23
c19054b4-056e-474a-993c-46091b3f397e,2025-02-17,74.5,47.5,66.8,0.0,6.1,12.1,145,71,23
c19054b4-056e-474a-993c-46091b3f397e,2025-02-18,73.0,48.1,67.6,0.0,7.0,12.1,133,28,26
c19054b4-056e-474a-993c-46091b3f397e,2025-02-19,76.5,46.5,71.9,0.0,4.8,10.5,99,48,23
c19054b4-056e-474a-993c-46091b3f397e,2025-02-20,75.5,47.5,68.5,0.0,6.9,15.2,190,36,20
c19054b4-056e-474a-993c-46091b3f397e,2025-02-21,75.0,45.8,69.9,0.0,5.0,11.0,150,2,20
c19054b4-056e-474a-993c-46091b3f397e,2025-02-22,74.8,43.6,68.3,0.0,6.9,15.2,303,4,19
c19054b4-056e-474a-993c-46091b3f397e,2025-02-23,78.2,45.1,71.8,0.0,5.3,10.3,148,0,18
923b6d24-15ac-4ed0-860b-f83b52863e3e,2025-03-05,79.9,66.9,83.2,0.177,16.7,36.9,199,62,81
923b6d24-15ac-4ed0-860b-f83b52863e3e,2025-03-06,67.7,54.3,66.5,0.0,11.8,26.6,302,6,62
923b6d24-15ac-4ed0-860b-f83b52863e3e,2025-03-07,76.4,46.0,76.9,0.0,5.5,14.3,5,22,66
923b6d24-15ac-4ed0-860b-f83b52863e3e,2025-03-08,78.6,52.2,81.6,0.0,8.2,21.7,193,16,80
923b6d24-15ac-4ed0-860b-f83b52863e3e,2025-03-09,82.1,63.5,86.7,0.0,9.4,23.5,192,28,85
3e4dfb79-372b-4e49-805e-aff3ebdb469f,2025-03-12,78.7,58.0,76.1,0.0,12.9,27.5,198,21,58
3e4dfb79-372b-4e49-805e-aff3ebdb469f,2025-03-14,84.6,64.5,76.0,0.0,20.7,43.2,213,33,37
3e4dfb79-372b-4e49-805e-aff3ebdb469f,2025-03-15,66.9,55.1,61.1,0.008,17.3,36.9,287,70,29
3e4dfb79-372b-4e49-805e-aff3ebdb469f,2025-03-16,68.0,41.7,63.7,0.0,9.8,19.2,330,1,28
bd8ef132-a848-4ff8-ba4f-cb06b0f203d3,2025-03-25,87.1,50.4,83.5,0.0,3.5,10.7,351,0,26
bd8ef132-a848-4ff8-ba4f-cb06b0f203d3,2025-03-27,87.4,54.7,78.3,0.0,15.0,28.9,214,51,17
bd8ef132-a848-4ff8-ba4f-cb06b0f203d3,2025-03-28,75.5,59.3,69.4,0.0,10.2,20.6,273,88,19
bd8ef132-a848-4ff8-ba4f-cb06b0f203d3,2025-03-29,73.3,47.8,64.0,0.0,13.6,27.1,250,14,22
bd8ef132-a848-4ff8-ba4f-cb06b0f203d3,2025-03-30,74.4,50.3,69.0,0.004,13.8,26.2,317,43,22
9da4f63a-4225-4ca2-8646-f5766e1be56d,2025-03-29,79.2,58.7,74.7,0.0,11.9,27.5,185,96,61
9da4f63a-4225-4ca2-8646-f5766e1be56d,2025-03-30,80.2,59.1,79.0,0.047,12.0,26.2,168,84,76
4575ae49-0a16-4906-b8cd-def7795b034b,2025-04-01,65.9,50.6,65.3,0.004,11.7,23.7,336,39,67
4575ae49-0a16-4906-b8cd-def7795b034b,2025-04-03,84.3,65.2,84.0,0.016,13.3,30.2,192,92,76
4575ae49-0a16-4906-b8cd-def7795b034b,2025-04-04,86.8,67.7,89.9,0.008,12.3,24.2,213,65,71
4575ae49-0a16-4906-b8cd-def7795b034b,2025-04-05,86.4,65.8,85.4,0.0,13.4,29.1,203,76,68
4575ae49-0a16-4906-b8cd-def7795b034b,2025-04-06,88.7,67.3,83.9,0.004,16.0,34.4,216,78,59
cd075e2c-056f-472e-97b8-d0990abeab98,2025-04-05,84.2,74.6,86.4,0.276,19.8,43.4,166,76,81
cd075e2c-056f-472e-97b8-d0990abeab98,2025-04-06,73.4,56.9,78.2,3.094,11.7,30.6,318,99,86
c1ef0b15-24d9-4c8a-b44b-4de6c13669ff,2025-04-24,86.4,65.9,90.1,0.0,10.3,23.0,96,31,68
c1ef0b15-24d9-4c8a-b44b-4de6c13669ff,2025-04-25,86.2,65.2,90.1,0.0,9.2,21.5,98,24,64
c1ef0b15-24d9-4c8a-b44b-4de6c13669ff,2025-04-26,88.4,64.7,93.0,0.0,9.0,19.7,111,35,66
c1ef0b15-24d9-4c8a-b44b-4de6c13669ff,2025-04-27,92.1,66.7,97.7,0.012,9.8,22.8,122,43,65
481b5c99-cdbb-4094-99c1-93674721d8f8,2025-04-24,65.2,56.6,60.9,0.004,13.4,27.5,91,76,69
481b5c99-cdbb-4094-99c1-93674721d8f8,2025-04-25,66.5,59.9,60.6,0.031,15.1,36.5,73,93,73
481b5c99-cdbb-4094-99c1-93674721d8f8,2025-04-26,68.1,63.1,64.6,0.154,15.8,35.3,54,80,78
481b5c99-cdbb-4094-99c1-93674721d8f8,2025-04-27,65.4,62.9,64.8,1.472,14.3,26.4,55,100,92
0b33f8c1-88ec-49f2-b813-0288236be891,2025-05-01,78.3,59.1,76.9,0.323,16.3,43.6,193,83,80
0b33f8c1-88ec-49f2-b813-0288236be891,2025-05-02,73.2,59.4,74.3,0.264,16.4,36.2,228,70,81
0b33f8c1-88ec-49f2-b813-0288236be891,2025-05-03,59.8,48.6,60.6,1.016,13.4,25.7,5,100,96
0b33f8c1-88ec-49f2-b813-0288236be891,2025-05-04,63.5,47.8,62.1,0.248,12.0,22.6,112,73,85
c99d3632-36f8-4b0d-a8a7-2292f9529ea6,2025-05-10,58.4,46.5,54.8,1.362,13.5,26.2,355,83,92
c99d3632-36f8-4b0d-a8a7-2292f9529ea6,2025-05-11,60.4,48.4,52.8,0.0,14.4,31.5,309,1,55
9c61faee-196b-4c55-9ba0-e99b641f93bf,2025-05-12,77.8,62.3,81.9,1.0,12.9,26.2,123,69,85
9c61faee-196b-4c55-9ba0-e99b641f93bf,2025-05-13,75.3,57.7,79.0,0.071,8.2,19.9,205,53,81
9c61faee-196b-4c55-9ba0-e99b641f93bf,2025-05-14,80.7,60.2,82.8,0.02,8.5,20.8,234,59,78
9c61faee-196b-4c55-9ba0-e99b641f93bf,2025-05-15,84.1,64.1,88.6,0.0,10.6,24.2,226,55,75
9c61faee-196b-4c55-9ba0-e99b641f93bf,2025-05-16,84.6,70.2,89.7,0.0,9.4,20.6,240,99,77
9c61faee-196b-4c55-9ba0-e99b641f93bf,2025-05-17,83.2,68.8,84.9,0.11,13.2,28.6,250,95,75
9c61faee-196b-4c55-9ba0-e99b641f93bf,2025-05-18,82.9,66.8,84.4,0.118,7.8,18.3,256,77,78
b3850e7f-2ac3-4e98-8d3b-1b644017fd3c,2025-05-23,95.6,73.5,102.6,0.031,14.0,30.2,166,43,66
b3850e7f-2ac3-4e98-8d3b-1b644017fd3c,2025-05-24,96.0,74.3,100.8,0.012,13.6,29.8,176,57,65
b3850e7f-2ac3-4e98-8d3b-1b644017fd3c,2025-05-25,92.4,75.8,97.9,0.079,14.0,31.8,174,53,70
b3850e7f-2ac3-4e98-8d3b-1b644017fd3c,2025-05-26,80.2,70.7,85.4,0.685,13.1,25.3,124,80,89
c437ce67-98a9-4719-9da8-0b7293e40c2d,2025-05-24,93.4,73.0,103.7,0.449,13.2,28.9,112,28,79
c437ce67-98a9-4719-9da8-0b7293e40c2d,2025-05-25,91.4,72.7,100.9,0.118,7.5,17.2,124,26,77
ecad7b63-e483-4f51-b01f-98012225c8e3,2025-05-29,98.6,71.9,94.8,0.0,12.0,20.1,242,85,11
ecad7b63-e483-4f51-b01f-98012225c8e3,2025-05-30,101.8,69.1,96.7,0.0,8.1,17.7,266,8,14
