team_uuid,team_title,franchise,event,lineup_date,matchup_uuid,player_uuid,full_name,gender,slot,singles_games,singles_value_raw,doubles_value,value_used,value_source
43437cb4-02e1-4653-9bf6-c999a5d6315e,Las Vegas Night Owls,1,Edward Jones Mid-Season Tournament,2026-07-09,fb7dfc22-d2bc-4e1d-8d18-6dea3e1de532,925c1306-6b3b-4510-8482-f34168a0842a,Roscoe Bellamy,M,M1,277,1.5249,0.7114,1.5249,singles
43437cb4-02e1-4653-9bf6-c999a5d6315e,Las Vegas Night Owls,1,Edward Jones Mid-Season Tournament,2026-07-09,fb7dfc22-d2bc-4e1d-8d18-6dea3e1de532,b68c0204-d9d4-4cba-bf23-46706abd77bf,Clayton Powell,M,M2,39,0.4058,0.5889,0.4058,singles
dfd50c88-6687-4e6f-8e67-4b9932a8dbd7,Los Angeles Mad Drops,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,F1,286,1.4397,0.8946,1.4397,singles
dfd50c88-6687-4e6f-8e67-4b9932a8dbd7,Los Angeles Mad Drops,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,F2,0,,1.1558,1.2476,imputed
dfd50c88-6687-4e6f-8e67-4b9932a8dbd7,Los Angeles Mad Drops,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,M1,203,1.6897,1.1139,1.6897,singles
dfd50c88-6687-4e6f-8e67-4b9932a8dbd7,Los Angeles Mad Drops,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9,Max Freeman,M,M2,142,1.0924,0.6907,1.0924,singles
1a39f443-f5f4-41a8-9dea-3edc28dd262b,Miami Pickleball Club,1,Edward Jones Mid-Season Tournament,2026-07-10,b947262b-2013-44dd-8a58-d191c27a2134,719e2d3b-d10d-402d-a195-41f072214679,Isabella Dunlap,F,F1,171,1.0564,0.7124,1.0564,singles
1a39f443-f5f4-41a8-9dea-3edc28dd262b,Miami Pickleball Club,1,Edward Jones Mid-Season Tournament,2026-07-10,b947262b-2013-44dd-8a58-d191c27a2134,bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F,F2,57,0.8361,0.7236,0.8361,singles
1a39f443-f5f4-41a8-9dea-3edc28dd262b,Miami Pickleball Club,1,Edward Jones Mid-Season Tournament,2026-07-10,b947262b-2013-44dd-8a58-d191c27a2134,1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,M1,267,1.4005,0.7531,1.4005,singles
1a39f443-f5f4-41a8-9dea-3edc28dd262b,Miami Pickleball Club,1,Edward Jones Mid-Season Tournament,2026-07-10,b947262b-2013-44dd-8a58-d191c27a2134,ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M,M2,98,0.7656,0.7681,0.7656,singles
0c38d948-0091-469a-9ddb-e6ecc0cf1dee,New Jersey 5s,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,F1,313,2.2717,1.7994,2.2717,singles
0c38d948-0091-469a-9ddb-e6ecc0cf1dee,New Jersey 5s,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,F2,164,1.2011,1.1731,1.2011,singles
0c38d948-0091-469a-9ddb-e6ecc0cf1dee,New Jersey 5s,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,M1,286,1.4793,0.7918,1.4793,singles
0c38d948-0091-469a-9ddb-e6ecc0cf1dee,New Jersey 5s,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,M2,28,1.3187,0.7824,1.3187,singles
802e3e69-7173-48e4-9ac9-622d2fd20463,Orlando Squeeze,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F,F1,139,0.8898,0.7214,0.8898,singles
802e3e69-7173-48e4-9ac9-622d2fd20463,Orlando Squeeze,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Alex Walker,F,F2,22,0.3905,0.4325,0.3905,singles
802e3e69-7173-48e4-9ac9-622d2fd20463,Orlando Squeeze,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,M1,542,1.8576,0.9050,1.8576,singles
802e3e69-7173-48e4-9ac9-622d2fd20463,Orlando Squeeze,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,M2,282,1.5741,0.8369,1.5741,singles
b4f37e71-b9e0-4387-8606-3e22546ad5a9,Palm Beach Royals,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,F,F1,0,,1.1255,1.2131,imputed
b4f37e71-b9e0-4387-8606-3e22546ad5a9,Palm Beach Royals,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,b9bacc1e-29b5-4a92-a9c1-24e08ac72215,Sofia Sewing,F,F2,2,0.3428,1.0173,1.0897,imputed
b4f37e71-b9e0-4387-8606-3e22546ad5a9,Palm Beach Royals,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,M1,193,1.2891,0.6494,1.2891,singles
b4f37e71-b9e0-4387-8606-3e22546ad5a9,Palm Beach Royals,1,Edward Jones Mid-Season Tournament,2026-07-12,00f0a598-8cd9-4808-aa6d-f58b1fcab8cc,89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M,M2,0,,0.7618,0.7985,imputed
f6247f54-df2c-421f-89fe-6813f9893883,Phoenix Flames,1,MLP San Diego,2026-07-18,9771fb2d-15b2-480a-9562-3814cccd1f5f,3e6b668a-8d26-4424-9420-3ceb18486b65,Daria Walczak,F,F1,18,0.9256,0.7092,0.9256,singles
f6247f54-df2c-421f-89fe-6813f9893883,Phoenix Flames,1,MLP San Diego,2026-07-18,9771fb2d-15b2-480a-9562-3814cccd1f5f,a226291c-c48b-408b-a846-f45400d313a9,Alexa Schull,F,F2,30,0.6594,0.6499,0.6594,singles
f6247f54-df2c-421f-89fe-6813f9893883,Phoenix Flames,1,MLP San Diego,2026-07-18,9771fb2d-15b2-480a-9562-3814cccd1f5f,99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M,M1,49,1.1528,0.5914,1.1528,singles
f6247f54-df2c-421f-89fe-6813f9893883,Phoenix Flames,1,MLP San Diego,2026-07-18,9771fb2d-15b2-480a-9562-3814cccd1f5f,62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M,M2,69,0.6619,0.6515,0.6619,singles
45f9b36e-9e22-4218-b40f-e9c25281d225,SoCal Hard Eights,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F,F1,146,0.9038,0.6217,0.9038,singles
45f9b36e-9e22-4218-b40f-e9c25281d225,SoCal Hard Eights,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,F2,7,0.6815,0.8478,0.8965,imputed
45f9b36e-9e22-4218-b40f-e9c25281d225,SoCal Hard Eights,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,33292af3-984d-4752-8d18-b3a5c147e9fe,Armaan Bhatia,M,M1,38,1.1337,0.7666,1.1337,singles
45f9b36e-9e22-4218-b40f-e9c25281d225,SoCal Hard Eights,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,81535c8c-27d9-452c-a72a-61fc9f755b01,Will Mackinnon,M,M2,22,0.1761,0.5586,0.1761,singles
519868c1-a900-4db4-b123-0a49acd49c34,St. Louis Shock,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,F1,340,1.8039,1.0808,1.8039,singles
519868c1-a900-4db4-b123-0a49acd49c34,St. Louis Shock,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,F2,31,1.4875,1.3267,1.4875,singles
519868c1-a900-4db4-b123-0a49acd49c34,St. Louis Shock,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,M1,63,1.2411,1.0803,1.2411,singles
519868c1-a900-4db4-b123-0a49acd49c34,St. Louis Shock,1,Edward Jones Mid-Season Tournament,2026-07-12,c81177b9-5e43-4eed-a7a9-0a537be09ff0,d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,M2,128,1.2152,1.0708,1.2152,singles
f9ffc495-1981-46e8-a6bf-c2f7a9ae9fc9,Team Australia,0,Edward Jones Mid-Season Tournament,2026-07-10,7987df7a-ffa8-40a2-8d9d-9246c623e465,bce96858-ab10-4ff3-9692-d32eab2a5b3b,Talia Saunders,F,F1,4,0.2566,0.4824,0.4799,imputed
