p1_name,p2_name,chem_logit_mean,chem_logit_sd
Craig Johnson,Audrey Adele Brown,-0.007,0.0509
Ashlee Candelaria,Ryan Finley,0.0035,0.0524
Nicole Eugenio,Blaine Hovenier,0.0008,0.0534
Court Zalinski,Austin Oreilly,-0.0055,0.0499
Zach Gonnering,Lucah Folden,0.0137,0.0521
Nico Valencia,Dionne Lim,-0.0066,0.0534
Paige Miles,Keith Read,0.0175,0.0515
Patrick Kawka,Salome Devidze,0.0083,0.0493
Ross Whittaker,Pierina Imparato,-0.0077,0.053
Casey Diamond,Ava Ignatowich,-0.0024,0.0494
Liz Truluck,Aanik Lohani,-0.0069,0.0499
Augustus Ge,Tyra Hurricane Black,0.0442,0.0476
Rafa Hewett,Jade Kawamoto,-0.0039,0.0506
Reyna Ash,Luke Ness,0.0018,0.0509
Allison Chuang,Ryan Gilbert,-0.0001,0.0517
Kailas Shekar,Joana Stark,-0.0053,0.0514
Amanda Jarrett,Jeffrey Stone Jr.,-0.0052,0.0503
Matthew Mead,Madeline Saunders,0.0062,0.0481
Averee Beck,Logan Rosenbach,-0.0002,0.0527
Nate Gross,Brooklyn Tolentino,0.0006,0.0519
Samantha Parker,Jonny Pickleball Andrews,0.0075,0.0474
Susannah Barr,Spencer Smith,0.0062,0.0528
Alexis Saucerman,Jake Kuhlman,-0.0023,0.0522
Kristin Vogel,Ryan Eveloff,0.0007,0.0497
Dalia Garza,Sam Angelo,-0.0059,0.0524
Samantha Goldenhersh,Nicholas Wade,-0.0029,0.0532
Cassidy Hoag,Brooke Revuelta,0.0088,0.0507
Nora Tan,Joana Stark,-0.0022,0.0502
Jay Devilliers,Ben Newell,0.0087,0.0515
Erik Pailet,Jericho Grollman,-0.014,0.0483
Noah Zwiren,Elliot Markowitz,-0.0054,0.0524
Johnny Goldberg,Will Howells,0.0044,0.0515
Lea Jansen,Susannah Barr,0.0047,0.053
Nicola Slater,Monica Piekarski,-0.0023,0.0499
Roscoe Bellamy,Wesley Burrows,0.0025,0.0471
Tamaryn Emmrich,Mari Humberg,-0.0069,0.0504
Marshall Brown,Anderson Scarpa,-0.0019,0.0533
Jackson Ayotte,Daniel Jensen,0.0121,0.0514
David Hall,Bryce Larson,-0.0038,0.0506
Gabriel Joseph,Will Jamieson,0.0061,0.05
Blaine Hovenier,Ryan Eveloff,-0.0052,0.051
Caden Nemoff,Rob Cassidy,0.0011,0.0499
Averee Beck,Cloe Murillo,0.0013,0.0536
Reyna Ash,Dana Raugust,0.0119,0.0488
Carlota Trevino,Lucah Folden,0.0038,0.0547
Jaume Martinez Vich,CJ Klinger,-0.0044,0.0492
Ernie Garcia,Cooper Fratt,0.0014,0.0507
Eric Gilbert,Ryan Gilbert,0.003,0.0517
Dominique Canale,Sienna Susko,-0.0088,0.0511
Louie Payetta,Rob Hutchins,-0.0037,0.0523
Mario Barrientos,Jose Farias,0.003,0.0526
Chloe Igleski,Ella Boydston,-0.0105,0.0527
Rachael James,Jessica Wilcox,0.0018,0.0535
Daria Walczak,Marcela Aguila Ampon,0.0067,0.0482
Danielle Taufa,Samantha Parker,0.0022,0.053
Alexis Saucerman,Jessica Mason,0.0071,0.0517
Jonny Pickleball Andrews,Keith Read,0.0175,0.0532
Lauren Wong,Brenna Murray,-0.01,0.0507
Andrea Koop,Tina Pisnik,-0.0109,0.0501
Nicole Eugenio,Malia K Lum,-0.0001,0.0504
Zane Navratil,Erik Lange,0.016,0.049
Ashlee Candelaria,Audrey Adele Brown,0.0007,0.0502
Courtney McIntosh,Camila Garcia Wright,0.0041,0.0509
Pesa Teoni,Etienne Blaszkewycz,-0.0001,0.0506
Allison Phillips,Paige Miles,-0.0016,0.0535
Eric Roddy,Aanik Lohani,0.0116,0.0537
Lingwei Kong,Ava Ignatowich,-0.0038,0.0508
Brandon French,Donald Young,-0.0067,0.0507
Adrian Legarreta,Rio Newcombe,-0.0024,0.0525
Sarah Pham,Sarah Hua,-0.0093,0.0534
Samantha Goldenhersh,Cori Elliott,0.0029,0.0532
Ross Whittaker,Casey Diamond,-0.0186,0.0521
Dorothy Zerbst,Madeline Saunders,-0.0053,0.0515
Allison Chuang,Alexis Nelson,0.0133,0.0512
John Cincola,Wyatt Stone,0.008,0.0513
Mary Monson,Deserea Dunn,0.0029,0.0522
Kenadi Hance,Emilia Schmidt,0.0002,0.0515
Ernesto Russo,Sarah Ansboury,-0.0042,0.0515
Daria Walczak,Craig Johnson,0.0013,0.0508
Joshua Reason,Zak Parks,0.0182,0.0504
John Macauley,Kallan Arledge,-0.0077,0.0511
Cami Blake,Robert Baylon,0.0067,0.0509
Jalen Fuhriman,Justin Fullmer,-0.0035,0.0541
Garrett Blair,Dalton Robinson,0.0023,0.0536
Michael Parra,Chris Chakkaw,-0.0009,0.0507
Madeline Schulte,Drake Palm,0.002,0.0511
Chloe Igleski,Thatcher Schwendiman,-0.0032,0.0491
Dalia Garza,Pesa Teoni,0.0043,0.0512
Sabrina Guillebeaux,Quan Do,-0.0077,0.0526
Megan Fudge,Martin Emmrich,0.018,0.0517
Tatiana Ruhl,Claudio Quinones Garcia,0.0055,0.0526
Benjamin Bramblett,Domenika Turkovic,0.005,0.0518
Rachael James,Erik Forsythe,0.0085,0.0519
Cassidy Hoag,Darrian Young,-0.0011,0.05
Quan Do,Ryan Gilbert,0.0036,0.0525
Nick Black,Jordan Bridge,-0.0092,0.0538
Zaen Affleck,Gregorie Vinueza-Daly,0.0006,0.0491
Alex Fillat Perez,Adrian Legarreta,0.0077,0.052
Koa Pagaoa,Bryan Castanon,-0.0079,0.0532
Santhosh Narayanan,Noah Zwiren,-0.0034,0.0515
Kace Heiner,Tyler Holbrook,-0.0005,0.0534
Jessica Mason,Lucah Folden,-0.0009,0.0503
Bobbi Oshiro,Milan Rane,0.0098,0.0493
Elizabeth Skufca,Victoria Yu,-0.0003,0.0494
Max Green,Robert Baylon,-0.0039,0.051
Ivy Tschetter,Emma Nelson,-0.0003,0.0498
Audrey Adele Brown,Zachary Grabovic,0.0183,0.0503
Ewa Radzikowska,Todd Fought,-0.0044,0.0517
Wesley Miller,Jack Marsh,0.0038,0.0505
Chase Ora,Farzin Amiri,-0.0025,0.0516
Daria Walczak,Christa Gecheva,0.0076,0.0511
Polina Libo,Amanda Jarrett,0.0041,0.0521
Ashlee Candelaria,Marcela Aguila Ampon,0.0123,0.0501
Dalia Garza,Iulia Marcenco,-0.0028,0.0512
Zachary Grabovic,Evgeniy Kim,-0.0023,0.0507
Jace Morris,Wil Shaffer,0.0016,0.0504
Nathan Matthews,Mariano Yeh,0.0015,0.0519
Michael Erho,Andy Cusick,-0.0077,0.0504
William Gardner,Rio Newcombe,0.0054,0.0502
Jared Call,Jeffrey Moulton,-0.0028,0.052
Jake Denstone,Daniel Schwartz,-0.0004,0.0486
Chas Howard,Benjamin Grant,0.0026,0.0497
Brandon French,Judit Castillo,-0.0049,0.0502
Carolina Mayorga-Perry,Phillip Locklear,0.0041,0.052
Christa Gecheva,Augustus Ge,-0.0054,0.049
Tony Larson,Manny Pasricha,0.003,0.0498
Audrey Adele Brown,Tatiana Ruhl,-0.0199,0.0497
Angela Berry,Shea Donahue,0.0015,0.05
Claudio Quinones Garcia,Juan Benitez,-0.0022,0.0487
Jalina Ingram,Kale Klein,-0.0046,0.0529
Walter Lau,Angela Berry,-0.0061,0.0502
David Hall,Clayton Boydston,0.0155,0.0513
Nick Werner,Nolan Wolgamott,0.0007,0.0505
Thatcher Schwendiman,Bryce Larson,-0.0128,0.0503
Lucah Folden,Clayton Powell,-0.0001,0.0524
Camila Zilveti,Kasia Carr,0.0048,0.0508
Brenna Murray,Bryce Larson,0.0099,0.0516
Savanna Watts,Louis Wegner,-0.0054,0.0479
Cloe Murillo,Evgeniy Kim,0.0054,0.0496
Nebojsa Buha,Pally Ray,-0.0016,0.0523
Joshua Cooperman,Nicolas Gallego,0.0018,0.053
Lauren Mercado,Casey Diamond,0.006,0.0502
Caden Nemoff,Ivy Tschetter,-0.0025,0.0518
Court Zalinski,Jonny Pickleball Andrews,-0.01,0.0507
Maximo Agoglia,Adrian Garza,0.0005,0.0529
Mota Alhouni,Marcela Aguila Ampon,-0.0068,0.0525
Ashlee Candelaria,Rio Newcombe,0.004,0.0534
Austin Oreilly,Kasia Carr,-0.0002,0.0505
Cami Blake,Cloe Murillo,-0.0053,0.0519
Domenika Turkovic,Dionne Lim,0.0009,0.051
Walter Lau,Mouaad Alhouni,-0.0057,0.0504
Genie Erokhina,Anderson Scarpa,-0.0066,0.0494
Carolina Mayorga-Perry,Dana Raugust,-0.0074,0.0474
Josh Jenkins,Erik Forsythe,-0.0034,0.0517
Ryan Gilbert,Dionne Lim,0.0203,0.0528
Rob Hutchins,Daniel McAuley,0.0067,0.0521
Joseph Rotheram,Jeffrey Stone Jr.,0.0013,0.0521
Matt Burkhardt,Mac Young,-0.0084,0.0505
Alexandre Gauthier,Cason Campbell,-0.002,0.0548
Madeline Schulte,Sabrina Guillebeaux,0.0038,0.0509
Maddy Rasmusen,Benjamin Grant,-0.0012,0.05
Rob Cassidy,Pierina Imparato,-0.008,0.0496
Ross Whittaker,Mari Humberg,0.0076,0.052
Pally Ray,Auburn Smith,-0.0024,0.0553
Beau Martin,Jay Riding,-0.0085,0.0516
Izaak Gonzalez,Stetson Owensby,-0.0032,0.0496
Joey Nassos,Joey Lutostanski,-0.0064,0.053
Joshua Reason,Shea Donahue,0.0001,0.0515
Jordan Betts,Cambell Nakayama,-0.0009,0.0528
Dominique Schaefer,Rachel Rettger,0.0023,0.0503
Brenna Murray,Maddy Rasmusen,-0.0077,0.0529
Quang Duong,Lingwei Kong,-0.0063,0.0527
Erik Pailet,Drake Palm,0.0016,0.0527
Marshall Brown,Donald Young,-0.0045,0.0512
Austin Oreilly,Ryan Sherry,0.0014,0.0538
