p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Dylan Fullmer,Justin Fullmer,mens,11,0.059,0.547,0.543,77.2
Josh Bellisime,Matthew Mead,mens,5,-0.047,0.528,0.471,33.2
Isaac Hall,Aiden Schliekelman,mens,12,-0.06,0.537,0.466,26.9
Brian Bonilla,Mike Radermacher,mens,8,-0.064,0.557,0.45,25.1
Ant Tran,Flynn Orton,mens,5,0.096,0.531,0.559,84.7
Roman Hill,Alexander Valencia,mens,2,-0.073,0.545,0.443,21.5
Amir Tabatabaeian,Tiffany Wang,mixed,9,0.1,0.525,0.584,85.6
Ethan Bakalinsky,Eddy Kim,mens,11,0.145,0.548,0.596,91.5
Tennessee P,Logan Formaniuk,mens,2,-0.037,0.537,0.49,37.3
Levi Daniel,Amir Tabatabaeian,mens,8,-0.043,0.506,0.469,35.0
Duncan Mulenga Jr.,Martin Thomas,mens,11,0.033,0.527,0.534,69.2
Savanna Ticknor,Jace Howard,mixed,2,-0.108,0.533,0.437,10.5
Julianna Hess,Aizec Olson,mixed,4,0.093,0.519,0.58,84.0
Scott Berke,Chloe Diskin,mixed,3,-0.072,0.506,0.45,21.7
Martin Thomas,Elizabeth Roy,mixed,10,-0.065,0.511,0.439,24.4
Cori Sidell,Harrison Brown,mixed,3,-0.005,0.529,0.495,54.3
Erik Pailet,Jericho Grollman,mens,8,-0.122,0.518,0.416,7.9
Aizec Olson,Lucas Bellamy,mens,5,-0.099,0.499,0.435,12.4
Luke Calvert,Will Gardner,mens,3,-0.018,0.524,0.491,47.9
Janet Liu,Tiffany Wang,womens,2,-0.138,0.54,0.421,5.9
Hayden Rand,William Hsieh,mens,9,0.057,0.515,0.555,76.5
Beau Martin,Kyle Borawski,mens,4,-0.074,0.52,0.433,20.9
Louie Payetta,Chase Ora,mens,2,-0.078,0.51,0.438,19.3
Aaron Li,Matthew Powley,mens,11,0.118,0.529,0.58,88.5
Duncan Mulenga Jr.,Journey Barajas,mixed,2,-0.09,0.525,0.434,15.1
Jordan Theron,Chiron Burl,mens,7,0.056,0.501,0.54,76.3
Mackonner Dy,Michael McCaffrey,mens,3,0.002,0.509,0.506,57.4
