team,player_id,full_name,gender,site_name,mlp_uuid,fetched
New Jersey 5s,7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,Federico Staksrud,d273b9a2-fd54-4f5d-bea3-9d8feab1884b,2026-07-30
New Jersey 5s,b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,Jorja Johnson,d9cc12f6-37ea-48f7-978a-543b2cb60c4c,2026-07-30
New Jersey 5s,d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,Will Howells,b2a583a9-d450-4971-9bde-f3207fc317ac,2026-07-30
New Jersey 5s,eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F,Milan Rane,9ea2912e-9228-4444-99cf-f4dd681106a9,2026-07-30
Orlando Squeeze,3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,Jack Sock,6ca9a2b1-fd73-4e0c-a1e8-daf0ac90e2cc,2026-07-30
Orlando Squeeze,469988c9-b401-4c68-9e07-e1b1b104b791,Yates Johnson,M,Yates Johnson,a5bae267-28fa-4537-8ce2-d495b47ca2e1,2026-07-30
Orlando Squeeze,a3ed7970-35d2-485c-8285-187c298a2d83,Lacy Schneemann,F,Lacy Schneemann,0fb6997e-7bf1-4f7d-b2a5-5037501acc59,2026-07-30
Orlando Squeeze,c96f7a83-9cc1-4fbe-a610-126ed8e3a202,Gregory Dow,M,Gregory Dow,88c63531-8909-4e29-83ff-57d5e7ee9a9d,2026-07-30
Orlando Squeeze,cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Lina Padegimaite,F,Lina Padegimaite,e111f6e5-192b-4b23-97b4-2e4898275d1b,2026-07-30
Orlando Squeeze,f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Alex Walker,F,Alex Walker,35ff63c0-4b5c-42ca-8d8f-b9248c2acf84,2026-07-30
Palm Beach Royals,435e466e-22c7-4917-8cb4-ff45bbccde19,Tamaryn Emmrich,F,Tamaryn Emmrich,92eb494f-5c06-48d4-b84b-6669d6970290,2026-07-30
Palm Beach Royals,89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M,Dekel Bar,5ef60c96-3558-432f-8049-4fe1d11921ff,2026-07-30
Palm Beach Royals,b9bacc1e-29b5-4a92-a9c1-24e08ac72215,Sofia Sewing,F,Sofia Sewing,a019dab8-f989-4b7a-9026-9751fbf5fec3,2026-07-30
Palm Beach Royals,cd1bf109-4907-4208-bca1-4d12f9494a4c,Casey Diamond,M,Casey Diamond,b7865916-4d4c-47b0-803a-36a07063ccf9,2026-07-30
Palm Beach Royals,dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,Tyson McGuffin,e14272b0-b1d3-4cfd-9530-da1395c9c6c3,2026-07-30
Palm Beach Royals,f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,F,Tina Pisnik,30c134a2-2ffa-405e-8cd0-3ee94716a1e2,2026-07-30
Phoenix Flames,3e6b668a-8d26-4424-9420-3ceb18486b65,Daria Walczak,F,Daria Walczak,de6f6e70-537b-4026-962f-a48061fff8eb,2026-07-30
Phoenix Flames,4025f403-d676-42ee-97a1-61d9b38c211b,Allison Phillips,F,Allison Phillips,2f6d9af5-16e8-4ec6-9f7c-bd5e2f61d9f3,2026-07-30
Phoenix Flames,62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M,Jonathan Truong,0a92dfac-d2d3-4480-a2ed-7b3d6aca6fc5,2026-07-30
Phoenix Flames,763b4d27-8140-47cd-86f5-982706cd4ebb,Michael Loyd,M,Michael Loyd,70578a59-1767-4b71-a269-d41952f88361,2026-07-30
Phoenix Flames,99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M,Camden Chaffin,7e7e63ba-4edc-4d43-9df0-c5f376433093,2026-07-30
Phoenix Flames,a226291c-c48b-408b-a846-f45400d313a9,Alexa Schull,F,Alexa Schull,e9fd426a-1cfa-4141-9588-99478c5e11b3,2026-07-30
SoCal Hard Eights,12c765d0-8384-41d3-a498-de63fd7c37da,Naomi Nguyen,F,Naomi Nguyen,c7e3a02e-fb67-4373-b3e0-12674807093a,2026-07-30
SoCal Hard Eights,33292af3-984d-4752-8d18-b3a5c147e9fe,Armaan Bhatia,M,Armaan Bhatia,2e5f4bc8-dfd7-4d90-86e7-b6ea7d5c4688,2026-07-30
SoCal Hard Eights,81535c8c-27d9-452c-a72a-61fc9f755b01,Will Mackinnon,M,Will MacKinnon,a6cd09c7-7c84-4db5-903d-88eadfe9d861,2026-07-30
SoCal Hard Eights,8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,Meghan Dizon,8e617f1b-6ed2-4c98-8a1a-faf367bfa6be,2026-07-30
SoCal Hard Eights,9ce32de7-16c9-4786-a7b0-8c1c2c623d69,Rafael Lenhard,M,Rafael Lenhard,b636b65c-c13b-43f6-87a5-164b7cb927d1,2026-07-30
SoCal Hard Eights,9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F,Cailyn Campbell,6d9b4b14-e2e4-4c3e-925f-c26bff3f6578,2026-07-30
St. Louis Shock,3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,Kate Fahey,ffd05649-7361-424e-949d-7d8f62a9bf4e,2026-07-30
St. Louis Shock,5f367bee-cf3e-4aad-a6e6-72cca04d97e2,Angie Walker,F,Angie Walker,d44c5114-3372-43c7-9cf2-29b2fd995aa3,2026-07-30
St. Louis Shock,8160ad59-4654-46b1-b229-8d5f2a9a45f9,Hunter Johnson,M,Hunter Johnson,a7095722-4aa6-4d3b-80df-cc29a94c296c,2026-07-30
St. Louis Shock,d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,Gabriel Tardio,081cd142-84f7-4258-9a64-b9ffa7805d4f,2026-07-30
St. Louis Shock,db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,Anna Bright,7d714f51-5c62-4fda-acf2-063fe8c0ec05,2026-07-30
St. Louis Shock,fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,Hayden Patriquin,4213e3da-2c76-40c6-84ec-28d2c393c795,2026-07-30
Texas Ranchers,06ba18e0-687b-4aa3-822d-1c86981f576b,Rafa Hewett,M,Rafa Hewett,7a684813-044c-4273-89d8-c8d4f30730a6,2026-07-30
Texas Ranchers,52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,Eric Oncins,c4384907-8e5d-4368-b0bd-38475e6f1b96,2026-07-30
Texas Ranchers,55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,Layne Sleeth,F,Layne Sleeth,4b5e1739-8804-4e7a-bd49-dc0a9c345a8b,2026-07-30
Texas Ranchers,66a6c35b-33a2-4a23-b5db-fa53c96d643a,Kaitlyn Christian,F,Kaitlyn Christian,32d1d475-c02f-443f-a70c-66cd3d0d0915,2026-07-30
Texas Ranchers,7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,Lea Jansen,a85878a0-f787-4a69-b46a-454dc690ca85,2026-07-30
Texas Ranchers,a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,Nicolas Acevedo,0e23fb12-7f88-452f-81c9-38db4aa910f9,2026-07-30
Utah Black Diamonds,4af4d4d1-9f87-4dc7-95f2-b10751d44c15,Tama Shimabukuro,M,Tama Shimabukuro,ed4789f7-c9b8-4510-be4c-8391abb514a3,2026-07-30
Utah Black Diamonds,608756f6-bfc7-41b5-9cfd-5e69eacfe513,Victoria Dimuzio,F,Victoria DiMuzio,63401f23-32f5-41b7-9f66-77f187dd9b40,2026-07-30
Utah Black Diamonds,676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F,Etta Tuionetoa,50e01566-719c-44b3-8ec0-8d50929170a3,2026-07-30
Utah Black Diamonds,88fb0858-b9c3-4620-9408-0dda0eb241ef,Tyler Loong,M,Tyler Loong,5160af69-9797-43cd-916d-c3978da66480,2026-07-30
Utah Black Diamonds,ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M,Yuta Funemizu,75a8698d-8ca4-4910-a388-33aecdb2bff0,2026-07-30
Utah Black Diamonds,efe9989b-5864-48c2-806c-06697024e1da,Allyce Jones,F,Allyce Jones,0367c0f2-e2b8-4e82-8f80-1d36dfcce364,2026-07-30
