player_id,full_name,gender,V_total,phi,phi_se,n,in_pool,pool_rank,replacement
1bfba782-55f3-42e4-9889-9018e793c0b5,Leigh Waters,F,0.11610,0.09712,0.00124,2789,1,25,Emily Cederquist
55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,Layne Sleeth,F,0.12417,0.09322,0.00116,2791,1,26,Emily Cederquist
98c2531f-f5ce-48b5-b251-eb69425d409c,Jillian Braverman,F,0.11484,0.09233,0.00115,2831,1,27,Emily Cederquist
655e0349-7e66-4233-b999-b6cca2298f9b,Yana Newell,F,0.10757,0.08995,0.00119,2820,1,28,Emily Cederquist
06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,Brooke Buckner,F,0.11474,0.08552,0.00103,2818,1,29,Emily Cederquist
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,0.10925,0.08462,0.00115,2801,1,30,Emily Cederquist
7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,0.10135,0.07471,0.00094,2811,1,31,Emily Cederquist
29e8121d-6f86-4192-b7af-ab05b77b89fe,Ting Chieh Wei,F,0.09339,0.06945,0.00105,2813,1,32,Emily Cederquist
ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F,0.09418,0.06917,0.00094,2813,1,33,Emily Cederquist
70c18684-f615-4d05-9aa9-5cbdbd53ab9f,Carlota Trevino,F,0.09320,0.06882,0.00103,2789,1,34,Emily Cederquist
6794d224-7da3-43d9-8300-e24e731f5dea,Samantha Parker,F,0.09290,0.06694,0.00099,2828,1,35,Emily Cederquist
4798e757-53f5-4e52-92aa-98172c8f7862,Roos Van Reek,F,0.08581,0.06381,0.00091,2846,1,36,Emily Cederquist
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,0.07868,0.06242,0.00102,2808,1,37,Emily Cederquist
719e2d3b-d10d-402d-a195-41f072214679,Isabella Dunlap,F,0.08606,0.06072,0.00094,2819,1,38,Emily Cederquist
eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F,0.08197,0.05853,0.00096,2821,1,39,Emily Cederquist
736475dd-7ccd-40d8-8b43-8c2d9ef9e674,Maggie Brascia,F,0.06603,0.05725,0.00100,2830,1,40,Emily Cederquist
bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F,0.07989,0.05670,0.00096,2829,1,41,Emily Cederquist
504e8c08-caf6-4db8-b454-11ffa321261c,Lucy Kovalova,F,0.06062,0.05619,0.00099,2816,1,42,Emily Cederquist
3e6b668a-8d26-4424-9420-3ceb18486b65,Daria Walczak,F,0.07799,0.05612,0.00092,2830,1,43,Emily Cederquist
20945292-032a-47f1-93c5-d44ada6e4783,Yufei Long,F,0.07220,0.05282,0.00084,2803,1,44,Emily Cederquist
dcd029fb-2814-401b-a1cb-0c4269d9954b,Allie Reichert,F,0.05422,0.04933,0.00094,2817,1,45,Emily Cederquist
ded801fd-297a-4761-b63e-d8fbbfeb5762,Shelby Bates,F,0.06494,0.04933,0.00087,2825,1,46,Emily Cederquist
66a6c35b-33a2-4a23-b5db-fa53c96d643a,Kaitlyn Christian,F,0.06030,0.04930,0.00062,2816,1,47,Emily Cederquist
12890797-7355-49ca-848e-56d67e33c4de,Marianna Petrei,F,0.06268,0.04905,0.00072,2831,1,48,Emily Cederquist
1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,F,0.06748,0.04763,0.00087,2834,1,49,Emily Cederquist
577d1124-44c9-435d-88e9-01a146f2d177,Eugenia Carolina Lopez Ascarate,F,0.04979,0.04693,0.00092,2834,1,50,Emily Cederquist
